	Drug	Condition	CURIE_ID
497	NINTEDANIB	Idiopathic Pulmonary Fibrosis	DOID:0050156
498	DEFLAZACORT	Immune System Diseases	DOID:2914
499	CLOMIPHENE	Infertility, Female	DOID:5223
500	MESTEROLONE	Infertility, Male	DOID:12336
501	TINORIDINE	Inflammation	HP:0012531
502	BROMFENAC	Inflammation	HP:0012531
503	LANINAMIVIR	Influenza, Human	DOID:8469
504	PERAMIVIR	Influenza, Human	DOID:8469
505	OSELTAMIVIR	Influenza, Human	DOID:8469
506	CLOTIAZEPAM	Sleep Initiation and Maintenance Disorders	DOID:0050433
507	FLUNITRAZEPAM	Sleep Initiation and Maintenance Disorders	DOID:0050433
508	NITRAZEPAM	Sleep Initiation and Maintenance Disorders	DOID:0050433
509	ZOPICLONE	Sleep Initiation and Maintenance Disorders	DOID:0050433
510	CILOSTAZOL	Intermittent Claudication	DOID:3669
511	FENBENDAZOLE	Intestinal Diseases, Parasitic	DOID:7033
512	CASPOFUNGIN	Abdominal Abscess	HP:0100592
513	CEFTRIAXONE	Intraabdominal Infections	
514	CEFOTETAN	Intraabdominal Infections	
515	PAZUFLOXACIN	Intraabdominal Infections	
516	DORIPENEM	Intraabdominal Infections	
517	ISAVUCONAZOLE	Invasive Pulmonary Aspergillosis	DOID:0050073
518	DEFERIPRONE	Iron Overload	DOID:12119
519	FERROCHOLINATE	Iron, Dietary	HP:0001891
520	LINACLOTIDE	Irritable Bowel Syndrome	DOID:9778
521	ALOSETRON	Irritable Bowel Syndrome	DOID:9778
522	ELUXADOLINE	Irritable Bowel Syndrome	DOID:9778
523	DICYCLOMINE	Irritable Bowel Syndrome	DOID:9778
524	CIMETROPIUM	Irritable Bowel Syndrome	DOID:9778
525	LEUPROLIDE	Leiomyoma	DOID:127
526	RUFINAMIDE	Lennox Gastaut Syndrome	DOID:1826
527	THALIDOMIDE	Leprosy, Lepromatous	DOID:10887
528	CLOFAZIMINE	Leprosy, Lepromatous	DOID:10887
529	RN-1	Leukemia	DOID:1240
530	NIMUSTINE	Leukemia	DOID:1240
531	AZ-960	Leukemia-Lymphoma, Adult T-Cell	DOID:0050523
532	PENTOSTATIN	Leukemia, Hairy Cell	DOID:285
533	CLADRIBINE	Leukemia, Hairy Cell	DOID:285
534	IDELALISIB	Leukemia, Lymphocytic, Chronic, B-Cell	DOID:1040
535	CHLORAMBUCIL	Leukemia, Lymphocytic, Chronic, B-Cell	DOID:1040
536	FLUDARABINE	Leukemia, Lymphocytic, Chronic, B-Cell	DOID:1040
537	VENETOCLAX	Leukemia, Lymphocytic, Chronic, B-Cell	DOID:1040
538	VINCRISTINE	Leukemia, Lymphoid	DOID:10747
539	BOSUTINIB	Leukemia, Myelogenous, Chronic, BCR-ABL Positive	DOID:2226
540	BUSULFAN	Leukemia, Myelogenous, Chronic, BCR-ABL Positive	DOID:2226
541	DASATINIB	Leukemia, Myelogenous, Chronic, BCR-ABL Positive	DOID:2226
542	NILOTINIB	Leukemia, Myelogenous, Chronic, BCR-ABL Positive	DOID:2226
543	TIAZOFURIN	Leukemia, Myeloid	DOID:8692
544	THIOGUANINE	Leukemia, Myeloid, Acute	DOID:9119
545	ENOCITABINE	Leukemia, Myeloid, Acute	DOID:9119
546	ROMURTIDE	Leukopenia	DOID:615
547	TEFLUBENZURON	Lice Infestations	DOID:5502
548	LUSUTROMBOPAG	Liver Diseases	DOID:409
549	PROTOPORPHYRIN	Liver Diseases	DOID:409
550	LOXOPROFEN	Low Back Pain	HP:0003419
551	HYDROXYCHLOROQUINE	Lupus Erythematosus, Systemic	DOID:9074
552	NSC-350625	Lymphoma, Non-Hodgkin	DOID:0060060
553	TRANYLCYPROMINE	Depressive Disorder, Major	DOID:1470
554	TRAZODONE	Depressive Disorder, Major	DOID:1470
555	MEFLOQUINE	Malaria	DOID:12365
556	ARTEMETHER	Malaria	DOID:12365
557	ARTEMISININ	Malaria, Falciparum	DOID:14067
558	QUININE	Malaria, Falciparum	DOID:14067
559	CEFQUINOME	Mastitis, Bovine	DOID:10690
560	EPIHETACILLIN	Mastitis, Bovine	DOID:10690
561	MASITINIB	Mastocytoma	DOID:3666
562	DABRAFENIB	Melanoma	DOID:1909
563	VEMURAFENIB	Melanoma	DOID:1909
564	CYTARABINE	Meningitis	DOID:9471
565	CEFTIZOXIME	Meningitis, Haemophilus	DOID:0080179
566	TIBOLONE	Menopause	HP:0100805
567	NORETHYNODREL	Menstrual Cycle	HP:0000140
568	CLOTHIAPINE	Mental Disorders	DOID:150
569	UNITHIOL	Mercury Poisoning	
570	ARBEKACIN	Methicillin-Resistant Staphylococcus aureus	
571	ALMOTRIPTAN	Migraine Disorders	DOID:6364
572	SUMATRIPTAN	Migraine without Aura	DOID:0060178
573	FROVATRIPTAN	Migraine without Aura	DOID:0060178
574	ZOLMITRIPTAN	Migraine without Aura	DOID:0060178
575	SULBACTAM	Moraxella (Branhamella) catarrhalis	
576	BUCLIZINE	Motion Sickness	DOID:2951
577	FLUNARIZINE	Motion Sickness	DOID:2951
578	CINNARIZINE	Motion Sickness	DOID:2951
579	PHENIRAMINE	Motion Sickness	DOID:2951
580	MECLIZINE	Motion Sickness	DOID:2951
581	MAROPITANT	Motion Sickness	DOID:2951
582	TRIHEXYPHENIDYL	Movement Disorders	DOID:480
583	BENZTROPINE	Movement Disorders	DOID:480
584	CPI203	Multiple Myeloma	DOID:9538
585	CARMUSTINE	Multiple Myeloma	DOID:9538
586	IXAZOMIB	Multiple Myeloma	DOID:9538
587	LENALIDOMIDE	Multiple Myeloma	DOID:9538
588	MELPHALAN	Multiple Myeloma	DOID:9538
589	POMALIDOMIDE	Multiple Myeloma	DOID:9538
590	PANOBINOSTAT	Multiple Myeloma	DOID:9538
591	LAQUINIMOD	Multiple Sclerosis, Relapsing-Remitting	DOID:2378
592	TRIETHYLGALLAMINE	Muscle Contraction	HP:0004305
593	ATRACURIUM	Muscle Relaxation	HP:0002486
594	CISATRACURIUM	Muscle Relaxation	HP:0002486
595	TIMEPIDIUM	Spasm	HP:0006963
596	PRIDINOL	Spasm	HP:0006963
597	TIZANIDINE	Muscle Spasticity	DOID:0080000
598	CARISOPRODOL	Muscular Diseases	DOID:0080000
599	MIVACURIUM	Musculoskeletal Manipulations	HP:0002486
600	ORPHENADRINE	Musculoskeletal Pain	DOID:0060164
601	AMBENONIUM	Myasthenia Gravis	DOID:437
602	VIOMYCIN	Mycobacterium tuberculosis	DOID:399
603	STREPTOMYCIN	Mycobacterium tuberculosis	DOID:399
604	GRISEOFULVIN	Mycoses	DOID:1564
605	CLOTRIMAZOLE	Mycoses	DOID:1564
606	BIFONAZOLE	Mycoses	DOID:1564
607	DAPIPRAZOLE	Mydriasis	DOID:238
608	VATALANIB	Myelodysplastic Syndromes	DOID:0050908
609	DECITABINE	Myelodysplastic Syndromes	DOID:0050908
610	AZACITIDINE	Myelodysplastic Syndromes	DOID:0050908
611	RAMIPRIL	Myocardial Infarction	DOID:5844
612	LEVETIRACETAM	Myoclonic Epilepsy, Juvenile	DOID:4890
613	MODAFINIL	Narcolepsy	DOID:8986
614	TETRAHYDROZOLINE	Nasal Obstruction	DOID:2825
615	INDISETRON	Nausea	HP:0002018
616	NABILONE	Nausea	HP:0002018
617	EPERISONE	Neck Pain	DOID:0060164
618	GNE-493	Neoplasms	DOID:14566
619	PCI-34051	Neoplasms	DOID:14566
620	OMIPALISIB	Neoplasms	DOID:14566
621	CYSTEAMINE	Cystinosis	DOID:1064
622	ISOMETHEPTENE	Neuralgia	DOID:0060164
623	CAPSAICIN	Neuralgia, Postherpetic	DOID:9210
624	FABOMOTIZOLE	Neurasthenia	DOID:4737
625	I-BET726	Neuroblastoma	DOID:769
626	METHANTHELINE	Urinary Bladder, Neurogenic	DOID:12143
627	PIXANTRONE	Lymphoma, Non-Hodgkin	DOID:0060060
628	PLERIXAFOR	Lymphoma, Non-Hodgkin	DOID:0060060
629	AMRUBICIN	Carcinoma, Non-Small-Cell Lung	DOID:3904
630	OXYMETAZOLINE	Nose Diseases	DOID:2825
631	METHAMPHETAMINE	Obesity	DOID:9970
632	RIMONABANT	Obesity	DOID:9970
633	DIRLOTAPIDE	Obesity	DOID:9970
634	PAROXETINE	Obsessive-Compulsive Disorder	DOID:10933
635	CAMYLOFIN	Obstetric Labor Complications	HP:0030369
636	DINOPROST	Obstetric Labor Complications	HP:0030369
637	METIPRANOLOL	Ocular Hypertension	DOID:9282
638	TIMOLOL	Ocular Hypertension	DOID:9282
639	OXYTETRACYCLINE	Eye Infections	DOID:4692
640	CICLOPIROX	Onychomycosis	DOID:8913
641	TERBINAFINE	Onychomycosis	DOID:8913
642	BUPRENORPHINE	Opioid-Related Disorders	DOID:2559
643	NALORPHINE	Opioid-Related Disorders	DOID:2559
644	NAPROXEN	Osteoarthritis	DOID:8398
645	FIROCOXIB	Osteoarthritis	DOID:8398
646	FENOPROFEN	Osteoarthritis	DOID:8398
647	CARPROFEN	Osteoarthritis	DOID:8398
648	GRAPIPRANT	Osteoarthritis	DOID:8398
649	ESFLURBIPROFEN	Osteoarthritis	DOID:8398
650	OXANDROLONE	Osteoporosis	DOID:11476
651	FINAFLOXACIN	Otitis Externa	DOID:9463
652	CEFACLOR	Otitis Media	DOID:10754
653	SULFISOXAZOLE	Otitis Media	DOID:10754
654	AZITHROMYCIN	Otitis Media	DOID:10754
655	CEFMENOXIME	Otitis Media	DOID:10754
656	CARBOPLATIN	Ovarian Neoplasms	DOID:2394
657	SU11274	Ovarian Neoplasms	DOID:2394
658	PACLITAXEL	Ovarian Neoplasms	DOID:2394
659	OLAPARIB	Ovarian Neoplasms	DOID:2394
660	ALTRETAMINE	Ovarian Neoplasms	DOID:2394
661	TOLTERODINE	Urinary Bladder, Overactive	DOID:365
662	CYM 5442 HYDROCHLORIDE	Pain	DOID:0060164
663	PROPOFOL	Pain	DOID:0060164
664	HALOTHANE	Pain	DOID:0060164
665	PROPANIDID	Pain	DOID:0060164
666	LEVOMENTHOL	Pain	DOID:0060164
667	TILETAMINE	Pain	DOID:0060164
668	KETOROLAC	Pain	DOID:0060164
669	SALCOLEX	Pain	DOID:0060164
670	EPTAZOCINE	Pain	DOID:0060164
671	FLOCTAFENINE	Pain	DOID:0060164
672	METHADONE	Pain	DOID:0060164
673	BUPIVACAINE	Pain	DOID:0060164
674	ISOFLURANE	Pain	DOID:0060164
675	OXYCODONE	Pain	DOID:0060164
676	PROCAINE	Pain	DOID:0060164
677	ETIDOCAINE	Pain	DOID:0060164
678	BUTORPHANOL	Pain	DOID:0060164
679	ENFLURANE	Pain	DOID:0060164
680	ARTICAINE	Pain	DOID:0060164
681	LEVORPHANOL	Pain	DOID:0060164
682	PROPOXYPHENE	Pain	DOID:0060164
683	METHOHEXITAL	Pain	DOID:0060164
684	AMFENAC	Pain	DOID:0060164
685	PROPARACAINE	Pain	DOID:0060164
686	ALFENTANIL	Pain	DOID:0060164
687	MORPHINE	Pain	DOID:0060164
688	PENTAZOCINE	Pain	DOID:0060164
689	KETAMINE	Pain	DOID:0060164
690	REMIFENTANIL	Pain	DOID:0060164
691	DYCLONINE	Pain	DOID:0060164
692	NALBUPHINE	Pain	DOID:0060164
693	HYDROMORPHONE	Pain	DOID:0060164
694	ETOMIDATE	Pain	DOID:0060164
695	SUFENTANIL	Pain	DOID:0060164
696	TRAMADOL	Somatoform Disorders	DOID:4737
697	HEXOBARBITAL	Somatoform Disorders	DOID:4737
698	PARECOXIB	Pain, Postoperative	DOID:0060164
699	ERLOTINIB	Pancreatic Neoplasms	DOID:1793
700	GABEXATE	Pancreatitis	DOID:4989
701	NAFAMOSTAT	Pancreatitis	DOID:4989
702	MOPERONE	Paranoid Disorders	DOID:10938
703	PERICIAZINE	Paranoid Disorders	DOID:10938
704	TRICLABENDAZOLE	Parasitic Diseases	DOID:1398
705	TOLCAPONE	Parkinson Disease	DOID:14330
706	ROTIGOTINE	Parkinson Disease	DOID:14330
707	ISTRADEFYLLINE	Parkinson Disease	DOID:14330
708	AMANTADINE	Parkinson Disease	DOID:14330
709	PIMAVANSERIN	Parkinson Disease	DOID:14330
710	APOMORPHINE	Parkinson Disease	DOID:14330
711	BIPERIDEN	Parkinson Disease, Postencephalitic	DOID:14332
712	PIROHEPTINE	Parkinson Disease	DOID:14330
713	BUDIPINE	Parkinson Disease	DOID:14330
714	RIVASTIGMINE	Parkinson Disease	DOID:14330
715	SELEGILINE	Parkinson Disease	DOID:14330
716	TIAGABINE	Epilepsies, Partial	DOID:2234
717	OXYPHENCYCLIMINE	Peptic Ulcer	DOID:750
718	EGUALEN	Peptic Ulcer	DOID:750
719	SOFALCONE	Peptic Ulcer	DOID:750
720	HEXOCYCLIUM	Peptic Ulcer	DOID:750
721	GLYCOPYRROLATE	Peptic Ulcer	DOID:750
722	DIPHEMANIL	Peptic Ulcer	DOID:750
723	ZALTOPROFEN	Periarthritis	DOID:2964
724	SARPOGRELATE	Peripheral Arterial Disease	DOID:0050830
725	PRALATREXATE	Lymphoma, T-Cell, Peripheral	DOID:0050749
726	CHIDAMIDE	Lymphoma, T-Cell, Peripheral	DOID:0050749
727	BAMETHAN	Peripheral Vascular Diseases	DOID:341
728	IFENPRODIL	Peripheral Vascular Diseases	DOID:341
729	DIPHENIDOL	Vertigo	DOID:9847
730	CEFTEZOLE	Peritonitis	DOID:8283
731	CYANOCOBALAMIN	Anemia, Pernicious	DOID:13381
732	FENSPIRIDE	Pharyngitis	DOID:2275
733	CEFIXIME	Pharyngitis	DOID:2275
734	METYROSINE	Pheochromocytoma	DOID:0050771
735	VENLAFAXINE	Phobic Disorders	DOID:591
736	ARBUTIN	Pigmentation Disorders	DOID:10123
737	PAROXYPROPIONE	Pituitary Diseases	DOID:53
738	ARTEMOTIL	Malaria, Falciparum	DOID:14067
739	ASTROMICIN	Pneumonia	DOID:552
740	LEVOFLOXACIN	Pneumonia	DOID:552
741	NETILMICIN	Pneumonia	DOID:552
742	ASPOXICILLIN	Pneumonia	DOID:552
743	TIAMULIN	Pneumonia	DOID:552
744	EPRAZINONE	Pneumonia	DOID:552
745	CEFDITOREN	Pneumonia, Bacterial	DOID:874
746	LINEZOLID	Pneumonia, Ventilator-Associated	DOID:552
747	RANIMUSTINE	Polycythemia Vera	DOID:8997
748	RUXOLITINIB	Polycythemia Vera	DOID:8997
749	NORGESTIMATE	Postmenopause	DOID:11968
750	ALVIMOPAN	Postoperative Complications	DOID:8440
751	ERGONOVINE	Postoperative Hemorrhage	HP:0011891
752	DOLASETRON	Postoperative Nausea and Vomiting	HP:0002017
753	APREPITANT	Postoperative Nausea and Vomiting	HP:0002017
754	ROBENACOXIB	Pain, Postoperative	DOID:0060164
755	CLOFARABINE	Precursor Cell Lymphoblastic Leukemia-Lymphoma	DOID:0080147
756	PONATINIB	Precursor Cell Lymphoblastic Leukemia-Lymphoma	DOID:0080147
757	NELARABINE	Precursor T-Cell Lymphoblastic Leukemia-Lymphoma	DOID:5603
758	FENPROSTALENE	Pregnancy	HP:0002686
759	NOMEGESTROL	Pregnancy	HP:0002686
760	PROSTALENE	Pregnancy	HP:0002686
761	ALFAPROSTOL	Pregnancy	HP:0002686
762	DIENOGEST	Pregnancy	HP:0002686
763	ETONOGESTREL	Pregnancy	HP:0002686
764	CHLORMADINONE	Pregnancy	HP:0002686
765	ALLYLESTRENOL	Pregnancy Complications	HP:0001788
766	MIFEPRISTONE	Pregnancy, Unwanted	HP:0030449
767	RITODRINE	Obstetric Labor, Premature	HP:0001788
768	ESTRADIOL	Primary Ovarian Insufficiency	DOID:5426
769	TERAZOSIN	Prostatic Hyperplasia	DOID:11132
770	SILODOSIN	Prostatic Hyperplasia	DOID:11132
771	FINASTERIDE	Prostatic Hyperplasia	DOID:11132
772	AZD5363	Prostatic Neoplasms	DOID:10283
773	ESTRAMUSTINE	Prostatic Neoplasms	DOID:10283
774	GOSERELIN	Prostatic Neoplasms	DOID:10283
775	FLUTAMIDE	Prostatic Neoplasms	DOID:10283
776	ABARELIX	Prostatic Neoplasms	DOID:10283
777	BICALUTAMIDE	Prostatic Neoplasms	DOID:10283
778	ENZALUTAMIDE	Prostatic Neoplasms, Castration-Resistant	DOID:10283
779	CARBENICILLIN	Prostatitis	DOID:14654
780	NALFURAFINE	Pruritus	DOID:12403
781	ACITRETIN	Psoriasis	DOID:8893
782	CALCIPOTRIENE	Psoriasis	DOID:8893
783	METHOXSALEN	Psoriasis	DOID:8893
784	ETRETINATE	Psoriasis	DOID:8893
785	PROMAZINE	Psychomotor Agitation	HP:0002361
786	MESORIDAZINE	Psychotic Disorders	DOID:2468
787	VILANTEROL	Pulmonary Disease, Chronic Obstructive	DOID:3083
788	TIOTROPIUM	Pulmonary Disease, Chronic Obstructive	DOID:3083
789	CILOMILAST	Pulmonary Disease, Chronic Obstructive	DOID:3083
790	IPRATROPIUM	Pulmonary Disease, Chronic Obstructive	DOID:3083
791	OLODATEROL	Pulmonary Disease, Chronic Obstructive	DOID:3083
792	ERDOSTEINE	Pulmonary Disease, Chronic Obstructive	DOID:3083
793	AMBROXOL	Pulmonary Disease, Chronic Obstructive	DOID:3083
794	BOSENTAN	Hypertension, Pulmonary	DOID:6432
795	EPOPROSTENOL	Familial Primary Pulmonary Hypertension	DOID:14557
796	FLUCYTOSINE	Pulmonary Infarction	DOID:9477
797	CEFTOLOZANE	Pyelonephritis	DOID:11400
798	SUNITINIB	Carcinoma, Renal Cell	DOID:4450
799	GLUCARPIDASE	Renal Insufficiency	DOID:1074
800	CEFSULODIN	Reproductive Tract Infections	DOID:48
801	DOXAPRAM	Respiration Disorders	HP:0002093
802	DIMORPHOLAMINE	Respiratory Insufficiency	DOID:14265
803	BROMHEXINE	Respiratory Tract Diseases	DOID:1579
804	PROTOKYLOL	Respiratory Tract Diseases	DOID:1579
805	MINOCYCLINE	Respiratory Tract Infections	HP:0011947
806	CEFMETAZOLE	Respiratory Tract Infections	HP:0011947
807	TROLEANDOMYCIN	Respiratory Tract Infections	HP:0011947
808	PIDOTIMOD	Respiratory Tract Infections	HP:0011947
809	CARBOMYCIN	Respiratory Tract Infections	HP:0011947
810	DANOFLOXACIN	Respiratory Tract Infections	HP:0011947
811	FLUCLOXACILLIN	Respiratory Tract Infections	HP:0011947
812	PRAMIPEXOLE	Restless Legs Syndrome	DOID:0050425
813	DACTINOMYCIN	Rhabdomyosarcoma	DOID:3247
814	CORTISONE	Rheumatic Diseases	DOID:1575
815	PHENOCOLL	Rheumatic Diseases	DOID:1575
816	ETORICOXIB	Arthritis, Rheumatoid	DOID:7148
817	FRENTIZOLE	Arthritis, Rheumatoid	DOID:7148
818	AUROTHIOGLUCOSE	Arthritis, Rheumatoid	DOID:7148
819	DICLOFENAC	Arthritis, Rheumatoid	DOID:7148
820	TENIDAP	Arthritis, Rheumatoid	DOID:7148
821	TRAMAZOLINE	Rhinitis	DOID:4483
822	TRANILAST	Rhinitis, Allergic	DOID:4481
823	CLEMIZOLE	Rhinitis, Allergic	DOID:4481
824	RAMATROBAN	Rhinitis, Allergic	DOID:4481
825	AZELASTINE	Rhinitis, Allergic, Perennial	DOID:4481
826	CICLESONIDE	Rhinitis, Allergic, Perennial	DOID:4481
827	MONTELUKAST	Rhinitis, Allergic, Perennial	DOID:4481
828	DESLORATADINE	Rhinitis, Allergic, Seasonal	DOID:0060497
829	LEVOCETIRIZINE	Rhinitis, Allergic, Seasonal	DOID:0060497
830	ACRIVASTINE	Rhinitis, Allergic, Seasonal	DOID:0060497
831	ERGOCALCIFEROL	Rickets	DOID:10609
832	ALFACALCIDOL	Rickets	DOID:10609
833	DEXAMETHASONE	Rosacea	DOID:8881
834	LOTEPREDNOL	Rosacea	DOID:8881
835	DOXORUBICIN	Sarcoma, Kaposi	DOID:8632
836	PERMETHRIN	Scabies	DOID:8295
837	HALOBETASOL	Scalp Dermatoses	DOID:3136
838	OXAMNIQUINE	Schistosoma mansoni	DOID:0050597
839	STIBOPHEN	Schistosomiasis	DOID:1395
840	THIOPROPERAZINE	Psychotic Disorders	DOID:2468
841	FLUPENTIXOL	Schizophrenia	DOID:5419
842	BLONANSERIN	Schizophrenia	DOID:5419
843	LENPERONE	Schizophrenia	DOID:5419
844	SETIPTILINE	Schizophrenia	DOID:5419
845	ZIPRASIDONE	Schizophrenia	DOID:5419
846	ZOTEPINE	Schizophrenia	DOID:5419
847	PENFLURIDOL	Schizophrenia	DOID:5419
848	FLUPHENAZINE	Schizophrenia	DOID:5419
849	PERAZINE	Schizophrenia	DOID:5419
850	THIOTHIXENE	Schizophrenia	DOID:5419
851	HALOPERIDOL	Schizophrenia	DOID:5419
852	TIMIPERONE	Schizophrenia	DOID:5419
853	AMISULPRIDE	Schizophrenia	DOID:5419
854	BREXPIPRAZOLE	Schizophrenia	DOID:5419
855	BENPERIDOL	Schizophrenia	DOID:5419
856	ASENAPINE	Schizophrenia	DOID:5419
857	CARBINOXAMINE	Rhinitis, Allergic, Seasonal	DOID:0060497
858	CALCIFEDIOL	Hyperparathyroidism, Secondary	DOID:12466
859	EZOGABINE	Seizures	DOID:11832
860	DIAZEPAM	Seizures	DOID:11832
861	PHENYTOIN	Seizures	DOID:11832
862	OXCARBAZEPINE	Seizures	DOID:11832
863	CEFAZOLIN	Sepsis	HP:0100806
864	METARAMINOL	Shock	HP:0031273
865	BYK 191023 DIHYDROCHLORIDE	Shock, Septic	DOID:14115
866	TEDUGLUTIDE	Short Bowel Syndrome	DOID:10605
867	TELITHROMYCIN	Sinusitis	DOID:0050127
868	PILOCARPINE	Sjogren's Syndrome	DOID:12894
869	CEVIMELINE	Sjogren's Syndrome	DOID:12894
870	PEPLOMYCIN	Skin Neoplasms	DOID:3165
871	HALCINONIDE	Skin Diseases	DOID:37
872	MOMETASONE	Skin Diseases	DOID:37
873	DIFLUCORTOLONE	Skin Diseases	DOID:37
874	PREDNICARBATE	Skin Diseases	DOID:37
875	CEFOPERAZONE	Skin Diseases, Bacterial	DOID:9602
876	PHENETICILLIN	Skin Diseases, Bacterial	DOID:9602
877	CEFEPIME	Skin Diseases, Bacterial	DOID:9602
878	FLUMETHASONE	Skin Diseases, Eczematous	DOID:3310
879	TROVAFLOXACIN	Skin Diseases, Infectious	DOID:1563
880	ORITAVANCIN	Skin Diseases, Infectious	DOID:1563
881	MUPIROCIN	Skin Diseases, Infectious	DOID:1563
882	QUINUPRISTIN	Skin Diseases, Infectious	DOID:1563
883	LORMETAZEPAM	Sleep Deprivation	HP:0100785
884	ARMODAFINIL	Sleep Wake Disorders	DOID:535
885	NIMETAZEPAM	Sleep Disorders, Intrinsic	DOID:8619
886	PERLAPINE	Sleep Disorders, Intrinsic	DOID:8619
887	BUTOCTAMIDE	Sleep Disorders, Intrinsic	DOID:8619
888	CLOXAZOLAM	Sleep Disorders, Intrinsic	DOID:8619
889	PHENAZEPAM	Sleep Disorders, Intrinsic	DOID:8619
890	RAMELTEON	Sleep Disorders, Intrinsic	DOID:8619
891	SECOBARBITAL	Sleep Initiation and Maintenance Disorders	DOID:0050433
892	ESZOPICLONE	Sleep Initiation and Maintenance Disorders	DOID:0050433
893	GLUTETHIMIDE	Sleep Initiation and Maintenance Disorders	DOID:0050433
894	ZALEPLON	Sleep Initiation and Maintenance Disorders	DOID:0050433
895	QUAZEPAM	Sleep Initiation and Maintenance Disorders	DOID:0050433
896	BUTABARBITAL	Sleep Initiation and Maintenance Disorders	DOID:0050433
897	VARENICLINE	Smoking	DOID:0050742
898	MARBOFLOXACIN	Soft Tissue Infections	HP:0002718
899	ORBIFLOXACIN	Soft Tissue Infections	HP:0002718
900	CLIDINIUM	Spasm	HP:0006963
901	BEVONIUM	Spasm	HP:0006963
902	MEPHENESIN	Spasm	HP:0006963
903	IBAFLOXACIN	Staphylococcal Infections	DOID:96
904	NORVANCOMYCIN	Staphylococcal Infections	DOID:96
905	OXACILLIN	Staphylococcal Infections	DOID:96
906	SULTAMICILLIN	Staphylococcal Skin Infections	DOID:9063
907	DAPTOMYCIN	Staphylococcal Skin Infections	DOID:9063
908	TIGECYCLINE	Staphylococcal Skin Infections	DOID:9063
909	CHOLIC ACID	Steroid Metabolism, Inborn Errors	DOID:1701
910	GIMERACIL	Stomach Neoplasms	DOID:10534
911	TETRAPRENYLACETONE	Stomach Ulcer	DOID:10808
912	CETRAXATE	Stomach Ulcer	DOID:10808
913	LINCOMYCIN	Streptococcal Infections	DOID:4562
914	TICLOPIDINE	Stroke	HP:0001297
915	NIMODIPINE	Subarachnoid Hemorrhage	DOID:0060228
916	INDECAINIDE	Tachycardia	DOID:13087
917	ADENOSINE	Tachycardia, Paroxysmal	HP:0006688
918	PIRMENOL	Tachycardia, Ventricular	DOID:0060674
919	SOTALOL	Tachycardia, Ventricular	DOID:0060674
920	ETOPOSIDE	Testicular Neoplasms	DOID:2998
921	IFOSFAMIDE	Testicular Neoplasms	DOID:2998
922	PLICAMYCIN	Testicular Neoplasms	DOID:2998
923	VINBLASTINE	Testicular Neoplasms	DOID:2998
924	ARGATROBAN	Thrombocytopenia	DOID:1588
925	WARFARIN	Thromboembolism	HP:0001907
926	DIPYRIDAMOLE	Thromboembolism	HP:0001907
927	PHENPROCOUMON	Thromboembolism	HP:0001907
928	KEBUZONE	Thrombophlebitis	DOID:3875
929	MILCICLIB	Thymoma	DOID:3275
930	CABOZANTINIB	Thyroid Neoplasms	DOID:1781
931	VANDETANIB	Thyroid Neoplasms	DOID:1781
932	ECONAZOLE	Tinea Pedis	DOID:12403
933	NAFTIFINE	Tinea Pedis	DOID:12403
934	SERTACONAZOLE	Tinea Pedis	DOID:12403
935	BUTENAFINE	Tinea Versicolor	DOID:9060
936	CEFPODOXIME	Tonsillitis	DOID:10456
937	CEFTIBUTEN	Tonsillitis	DOID:10456
938	EUGENOL	Toothache	DOID:1091
939	PIMOZIDE	Tourette Syndrome	DOID:2769
940	PYRIMETHAMINE	Toxoplasmosis	DOID:9965
941	OXANTEL	Trichuriasis	DOID:1252
942	ISONIAZID	Tuberculosis	DOID:399
943	PASINIAZID	Tuberculosis	DOID:399
944	CYCLOSERINE	Tuberculosis	DOID:399
945	DELAMANID	Tuberculosis, Multidrug-Resistant	DOID:401
946	CAPREOMYCIN	Tuberculosis, Pulmonary	DOID:2957
947	RIFAPENTINE	Tuberculosis, Pulmonary	DOID:2957
948	ETHAMBUTOL	Tuberculosis, Pulmonary	DOID:2957
949	DAPAGLIFLOZIN	Diabetes Mellitus, Type 2	DOID:9352
950	PIOGLITAZONE	Diabetes Mellitus, Type 2	DOID:9352
951	NITISINONE	Tyrosinemias	DOID:9275
952	BALSALAZIDE	Colitis, Ulcerative	DOID:8577
953	OLSALAZINE	Colitis, Ulcerative	DOID:8577
954	DIMETHINDENE	Respiratory Tract Infections	HP:0011947
955	VALRUBICIN	Urinary Bladder Neoplasms	DOID:11054
956	OXYBUTYNIN	Urinary Bladder, Neurogenic	DOID:12143
957	FESOTERODINE	Urinary Bladder, Overactive	DOID:365
958	SOLIFENACIN	Urinary Bladder, Overactive	DOID:365
959	DARIFENACIN	Urinary Bladder, Overactive	DOID:365
960	MIRABEGRON	Urinary Bladder, Overactive	DOID:365
961	TROSPIUM	Urinary Bladder, Overactive	DOID:365
962	TERODILINE	Urinary Incontinence	DOID:724
963	CEFORANIDE	Urinary Tract Infections	DOID:13148
964	BACAMPICILLIN	Urinary Tract Infections	DOID:13148
965	CEFTAZIDIME	Urinary Tract Infections	DOID:13148
966	ERTAPENEM	Urinary Tract Infections	DOID:13148
967	BALOFLOXACIN	Urinary Tract Infections	DOID:13148
968	NITROFURANTOIN	Urinary Tract Infections	DOID:13148
969	CLEMASTINE	Urticaria	DOID:1555
970	EBASTINE	Urticaria	DOID:1555
971	TRIPELENNAMINE	Urticaria	DOID:1555
