Drug	Condition
ZALTOPROFEN	Periarthritis
SARPOGRELATE	Peripheral Arterial Disease
PRALATREXATE	Lymphoma, T-Cell, Peripheral
CHIDAMIDE	Lymphoma, T-Cell, Peripheral
BAMETHAN	Peripheral Vascular Diseases
IFENPRODIL	Peripheral Vascular Diseases
DIPHENIDOL	Vertigo
CEFTEZOLE	Peritonitis
CYANOCOBALAMIN	Anemia, Pernicious
FENSPIRIDE	Pharyngitis
CEFIXIME	Pharyngitis
METYROSINE	Pheochromocytoma
VENLAFAXINE	Phobic Disorders
ARBUTIN	Pigmentation Disorders
PAROXYPROPIONE	Pituitary Diseases
ARTEMOTIL	Malaria, Falciparum
ASTROMICIN	Pneumonia
LEVOFLOXACIN	Pneumonia
NETILMICIN	Pneumonia
ASPOXICILLIN	Pneumonia
TIAMULIN	Pneumonia
EPRAZINONE	Pneumonia
CEFDITOREN	Pneumonia, Bacterial
LINEZOLID	Pneumonia, Ventilator-Associated
RANIMUSTINE	Polycythemia Vera
RUXOLITINIB	Polycythemia Vera
NORGESTIMATE	Postmenopause
ALVIMOPAN	Postoperative Complications
ERGONOVINE	Postoperative Hemorrhage
DOLASETRON	Postoperative Nausea and Vomiting
APREPITANT	Postoperative Nausea and Vomiting
ROBENACOXIB	Pain, Postoperative
CLOFARABINE	Precursor Cell Lymphoblastic Leukemia-Lymphoma
PONATINIB	Precursor Cell Lymphoblastic Leukemia-Lymphoma
NELARABINE	Precursor T-Cell Lymphoblastic Leukemia-Lymphoma
FENPROSTALENE	Pregnancy
NOMEGESTROL	Pregnancy
PROSTALENE	Pregnancy
ALFAPROSTOL	Pregnancy
DIENOGEST	Pregnancy
ETONOGESTREL	Pregnancy
CHLORMADINONE	Pregnancy
ALLYLESTRENOL	Pregnancy Complications
MIFEPRISTONE	Pregnancy, Unwanted
RITODRINE	Obstetric Labor, Premature
ESTRADIOL	Primary Ovarian Insufficiency
TERAZOSIN	Prostatic Hyperplasia
SILODOSIN	Prostatic Hyperplasia
FINASTERIDE	Prostatic Hyperplasia
AZD5363	Prostatic Neoplasms
ESTRAMUSTINE	Prostatic Neoplasms
GOSERELIN	Prostatic Neoplasms
FLUTAMIDE	Prostatic Neoplasms
ABARELIX	Prostatic Neoplasms
BICALUTAMIDE	Prostatic Neoplasms
ENZALUTAMIDE	Prostatic Neoplasms, Castration-Resistant
CARBENICILLIN	Prostatitis
NALFURAFINE	Pruritus
ACITRETIN	Psoriasis
CALCIPOTRIENE	Psoriasis
METHOXSALEN	Psoriasis
ETRETINATE	Psoriasis
PROMAZINE	Psychomotor Agitation
MESORIDAZINE	Psychotic Disorders
VILANTEROL	Pulmonary Disease, Chronic Obstructive
TIOTROPIUM	Pulmonary Disease, Chronic Obstructive
CILOMILAST	Pulmonary Disease, Chronic Obstructive
IPRATROPIUM	Pulmonary Disease, Chronic Obstructive
OLODATEROL	Pulmonary Disease, Chronic Obstructive
ERDOSTEINE	Pulmonary Disease, Chronic Obstructive
AMBROXOL	Pulmonary Disease, Chronic Obstructive
BOSENTAN	Hypertension, Pulmonary
EPOPROSTENOL	Familial Primary Pulmonary Hypertension
FLUCYTOSINE	Pulmonary Infarction
CEFTOLOZANE	Pyelonephritis
SUNITINIB	Carcinoma, Renal Cell
GLUCARPIDASE	Renal Insufficiency
CEFSULODIN	Reproductive Tract Infections
DOXAPRAM	Respiration Disorders
DIMORPHOLAMINE	Respiratory Insufficiency
BROMHEXINE	Respiratory Tract Diseases
PROTOKYLOL	Respiratory Tract Diseases
MINOCYCLINE	Respiratory Tract Infections
CEFMETAZOLE	Respiratory Tract Infections
TROLEANDOMYCIN	Respiratory Tract Infections
PIDOTIMOD	Respiratory Tract Infections
CARBOMYCIN	Respiratory Tract Infections
DANOFLOXACIN	Respiratory Tract Infections
FLUCLOXACILLIN	Respiratory Tract Infections
PRAMIPEXOLE	Restless Legs Syndrome
DACTINOMYCIN	Rhabdomyosarcoma
CORTISONE	Rheumatic Diseases
PHENOCOLL	Rheumatic Diseases
ETORICOXIB	Arthritis, Rheumatoid
FRENTIZOLE	Arthritis, Rheumatoid
AUROTHIOGLUCOSE	Arthritis, Rheumatoid
DICLOFENAC	Arthritis, Rheumatoid
TENIDAP	Arthritis, Rheumatoid
TRAMAZOLINE	Rhinitis
TRANILAST	Rhinitis, Allergic
CLEMIZOLE	Rhinitis, Allergic
RAMATROBAN	Rhinitis, Allergic
AZELASTINE	Rhinitis, Allergic, Perennial
CICLESONIDE	Rhinitis, Allergic, Perennial
MONTELUKAST	Rhinitis, Allergic, Perennial
DESLORATADINE	Rhinitis, Allergic, Seasonal
LEVOCETIRIZINE	Rhinitis, Allergic, Seasonal
ACRIVASTINE	Rhinitis, Allergic, Seasonal
ERGOCALCIFEROL	Rickets
ALFACALCIDOL	Rickets
DEXAMETHASONE	Rosacea
LOTEPREDNOL	Rosacea
DOXORUBICIN	Sarcoma, Kaposi
PERMETHRIN	Scabies
HALOBETASOL	Scalp Dermatoses
OXAMNIQUINE	Schistosoma mansoni
STIBOPHEN	Schistosomiasis
THIOPROPERAZINE	Psychotic Disorders
FLUPENTIXOL	Schizophrenia
BLONANSERIN	Schizophrenia
LENPERONE	Schizophrenia
SETIPTILINE	Schizophrenia
ZIPRASIDONE	Schizophrenia
ZOTEPINE	Schizophrenia
PENFLURIDOL	Schizophrenia
FLUPHENAZINE	Schizophrenia
PERAZINE	Schizophrenia
THIOTHIXENE	Schizophrenia
HALOPERIDOL	Schizophrenia
TIMIPERONE	Schizophrenia
AMISULPRIDE	Schizophrenia
BREXPIPRAZOLE	Schizophrenia
BENPERIDOL	Schizophrenia
ASENAPINE	Schizophrenia
CARBINOXAMINE	Rhinitis, Allergic, Seasonal
CALCIFEDIOL	Hyperparathyroidism, Secondary
EZOGABINE	Seizures
DIAZEPAM	Seizures
PHENYTOIN	Seizures
OXCARBAZEPINE	Seizures
CEFAZOLIN	Sepsis
METARAMINOL	Shock
BYK 191023 DIHYDROCHLORIDE	Shock, Septic
TEDUGLUTIDE	Short Bowel Syndrome
TELITHROMYCIN	Sinusitis
PILOCARPINE	Sjogren's Syndrome
CEVIMELINE	Sjogren's Syndrome
PEPLOMYCIN	Skin Neoplasms
HALCINONIDE	Skin Diseases
MOMETASONE	Skin Diseases
DIFLUCORTOLONE	Skin Diseases
PREDNICARBATE	Skin Diseases
CEFOPERAZONE	Skin Diseases, Bacterial
PHENETICILLIN	Skin Diseases, Bacterial
CEFEPIME	Skin Diseases, Bacterial
FLUMETHASONE	Skin Diseases, Eczematous
TROVAFLOXACIN	Skin Diseases, Infectious
ORITAVANCIN	Skin Diseases, Infectious
MUPIROCIN	Skin Diseases, Infectious
QUINUPRISTIN	Skin Diseases, Infectious
LORMETAZEPAM	Sleep Deprivation
ARMODAFINIL	Sleep Wake Disorders
NIMETAZEPAM	Sleep Disorders, Intrinsic
PERLAPINE	Sleep Disorders, Intrinsic
BUTOCTAMIDE	Sleep Disorders, Intrinsic
CLOXAZOLAM	Sleep Disorders, Intrinsic
PHENAZEPAM	Sleep Disorders, Intrinsic
RAMELTEON	Sleep Disorders, Intrinsic
SECOBARBITAL	Sleep Initiation and Maintenance Disorders
ESZOPICLONE	Sleep Initiation and Maintenance Disorders
GLUTETHIMIDE	Sleep Initiation and Maintenance Disorders
ZALEPLON	Sleep Initiation and Maintenance Disorders
QUAZEPAM	Sleep Initiation and Maintenance Disorders
BUTABARBITAL	Sleep Initiation and Maintenance Disorders
VARENICLINE	Smoking
MARBOFLOXACIN	Soft Tissue Infections
ORBIFLOXACIN	Soft Tissue Infections
CLIDINIUM	Spasm
BEVONIUM	Spasm
MEPHENESIN	Spasm
IBAFLOXACIN	Staphylococcal Infections
NORVANCOMYCIN	Staphylococcal Infections
OXACILLIN	Staphylococcal Infections
SULTAMICILLIN	Staphylococcal Skin Infections
DAPTOMYCIN	Staphylococcal Skin Infections
TIGECYCLINE	Staphylococcal Skin Infections
CHOLIC ACID	Steroid Metabolism, Inborn Errors
GIMERACIL	Stomach Neoplasms
TETRAPRENYLACETONE	Stomach Ulcer
CETRAXATE	Stomach Ulcer
LINCOMYCIN	Streptococcal Infections
TICLOPIDINE	Stroke
NIMODIPINE	Subarachnoid Hemorrhage
INDECAINIDE	Tachycardia
ADENOSINE	Tachycardia, Paroxysmal
PIRMENOL	Tachycardia, Ventricular
SOTALOL	Tachycardia, Ventricular
ETOPOSIDE	Testicular Neoplasms
IFOSFAMIDE	Testicular Neoplasms
PLICAMYCIN	Testicular Neoplasms
VINBLASTINE	Testicular Neoplasms
ARGATROBAN	Thrombocytopenia
WARFARIN	Thromboembolism
DIPYRIDAMOLE	Thromboembolism
PHENPROCOUMON	Thromboembolism
KEBUZONE	Thrombophlebitis
MILCICLIB	Thymoma
CABOZANTINIB	Thyroid Neoplasms
VANDETANIB	Thyroid Neoplasms
ECONAZOLE	Tinea Pedis
NAFTIFINE	Tinea Pedis
SERTACONAZOLE	Tinea Pedis
BUTENAFINE	Tinea Versicolor
CEFPODOXIME	Tonsillitis
CEFTIBUTEN	Tonsillitis
EUGENOL	Toothache
PIMOZIDE	Tourette Syndrome
PYRIMETHAMINE	Toxoplasmosis
OXANTEL	Trichuriasis
ISONIAZID	Tuberculosis
PASINIAZID	Tuberculosis
CYCLOSERINE	Tuberculosis
DELAMANID	Tuberculosis, Multidrug-Resistant
CAPREOMYCIN	Tuberculosis, Pulmonary
RIFAPENTINE	Tuberculosis, Pulmonary
ETHAMBUTOL	Tuberculosis, Pulmonary
DAPAGLIFLOZIN	Diabetes Mellitus, Type 2
PIOGLITAZONE	Diabetes Mellitus, Type 2
NITISINONE	Tyrosinemias
BALSALAZIDE	Colitis, Ulcerative
OLSALAZINE	Colitis, Ulcerative
DIMETHINDENE	Respiratory Tract Infections
VALRUBICIN	Urinary Bladder Neoplasms
OXYBUTYNIN	Urinary Bladder, Neurogenic
FESOTERODINE	Urinary Bladder, Overactive
SOLIFENACIN	Urinary Bladder, Overactive
DARIFENACIN	Urinary Bladder, Overactive
MIRABEGRON	Urinary Bladder, Overactive
TROSPIUM	Urinary Bladder, Overactive
TERODILINE	Urinary Incontinence
CEFORANIDE	Urinary Tract Infections
BACAMPICILLIN	Urinary Tract Infections
CEFTAZIDIME	Urinary Tract Infections
ERTAPENEM	Urinary Tract Infections
BALOFLOXACIN	Urinary Tract Infections
NITROFURANTOIN	Urinary Tract Infections
CLEMASTINE	Urticaria
EBASTINE	Urticaria
TRIPELENNAMINE	Urticaria
PIRARUBICIN	Uterine Neoplasms
SPECTINOMYCIN	Uterine Cervicitis
OXYTOCIN	Uterine Hemorrhage
CARBETOCIN	Uterine Inertia
RIMEXOLONE	Uveitis, Anterior
CANDICIDIN	Vaginitis
NIFUROXIME	Trichomonas Vaginitis
TERLIPRESSIN	Esophageal and Gastric Varices
METHYSERGIDE	Vascular Headaches
DABIGATRAN	Venous Thrombosis
ENCAINIDE	Tachycardia, Ventricular
LEVOSULPIRIDE	Vertigo
RAMOSETRON	Vomiting
GRANISETRON	Vomiting
CLEBOPRIDE	Vomiting
THIETHYLPERAZINE	Vomiting
DIENESTROL	Vulvar Lichen Sclerosus
SULFANILAMIDE	Candidiasis, Vulvovaginal
TERCONAZOLE	Candidiasis, Vulvovaginal
TIOCONAZOLE	Candidiasis, Vulvovaginal
BUTOCONAZOLE	Candidiasis, Vulvovaginal
FORMALDEHYDE	Warts
TRENBOLONE	Weight Gain
LAIDLOMYCIN	Weight Loss
TOCAINIDE	Wolff-Parkinson-White Syndrome
LIDOCAINE	Wolff-Parkinson-White Syndrome
OXIBENDAZOLE	Helminths
SERTRALINE	Stress Disorders, Post-Traumatic
