subject,predicate,object
biolink:Protein,biolink:disrupts,biolink:AnatomicalEntity
biolink:Drug,biolink:disrupts,biolink:AnatomicalEntity
biolink:Phenomenon,biolink:disrupts,biolink:AnatomicalEntity
biolink:CellularComponent,biolink:close_match,biolink:GrossAnatomicalStructure
biolink:OrganismalEntity,biolink:located_in,biolink:GrossAnatomicalStructure
biolink:InformationContentEntity,biolink:produces,biolink:GrossAnatomicalStructure
biolink:DiseaseOrPhenotypicFeature,biolink:produces,biolink:GrossAnatomicalStructure
biolink:Procedure,biolink:produces,biolink:GrossAnatomicalStructure
biolink:CellularComponent,biolink:disrupts,biolink:GrossAnatomicalStructure
biolink:PhysiologicalProcess,biolink:subclass_of,biolink:AnatomicalEntity
biolink:Procedure,biolink:subclass_of,biolink:AnatomicalEntity
biolink:ChemicalSubstance,biolink:subclass_of,biolink:AnatomicalEntity
biolink:PathologicalProcess,biolink:subclass_of,biolink:AnatomicalEntity
biolink:AnatomicalEntity,biolink:coexists_with,biolink:InformationContentEntity
biolink:BiologicalEntity,biolink:close_match,biolink:GrossAnatomicalStructure
biolink:Phenomenon,biolink:related_to,biolink:GrossAnatomicalStructure
biolink:Disease,biolink:located_in,biolink:Disease
biolink:NamedThing,biolink:subclass_of,biolink:Disease
biolink:GrossAnatomicalStructure,biolink:subclass_of,biolink:Disease
biolink:GrossAnatomicalStructure,biolink:related_to,biolink:Disease
biolink:AnatomicalEntity,biolink:precedes,biolink:AnatomicalEntity
biolink:PathologicalProcess,biolink:subclass_of,biolink:GrossAnatomicalStructure
biolink:CellularComponent,biolink:close_match,biolink:AnatomicalEntity
biolink:GrossAnatomicalStructure,biolink:subclass_of,biolink:Cell
biolink:Procedure,biolink:treats,biolink:GrossAnatomicalStructure
biolink:Procedure,biolink:biomarker_for,biolink:GrossAnatomicalStructure
biolink:Disease,biolink:close_match,biolink:PathologicalProcess
biolink:PathologicalProcess,biolink:close_match,biolink:PathologicalProcess
biolink:AnatomicalEntity,biolink:close_match,biolink:PathologicalProcess
biolink:IndividualOrganism,biolink:subclass_of,biolink:Cell
biolink:CellularComponent,biolink:close_match,biolink:Cell
biolink:IndividualOrganism,biolink:related_to,biolink:Cell
biolink:Procedure,biolink:part_of,biolink:Cell
biolink:OrganismalEntity,biolink:located_in,biolink:Cell
biolink:IndividualOrganism,biolink:positively_regulates,biolink:Cell
biolink:Disease,biolink:positively_regulates,biolink:Cell
biolink:Drug,biolink:positively_regulates,biolink:Cell
biolink:IndividualOrganism,biolink:occurs_in,biolink:Cell
biolink:Phenomenon,biolink:occurs_in,biolink:Cell
biolink:Procedure,biolink:quantifier_qualifier,biolink:Cell
biolink:CellularComponent,biolink:affects,biolink:Cell
biolink:Activity,biolink:affects,biolink:Cell
biolink:Cell,biolink:disrupts,biolink:Cell
biolink:QuantityValue,biolink:close_match,biolink:AnatomicalEntity
biolink:CellularComponent,biolink:related_to,biolink:AnatomicalEntity
biolink:BiologicalProcess,biolink:close_match,biolink:AnatomicalEntity
biolink:PhysicalEntity,biolink:close_match,biolink:PhysiologicalProcess
biolink:Activity,biolink:close_match,biolink:PhysiologicalProcess
biolink:NamedThing,biolink:close_match,biolink:PhysiologicalProcess
biolink:NamedThing,biolink:causes,biolink:PhysiologicalProcess
biolink:DiseaseOrPhenotypicFeature,biolink:causes,biolink:PhysiologicalProcess
biolink:PathologicalProcess,biolink:causes,biolink:PhysiologicalProcess
biolink:PhysiologicalProcess,biolink:causes,biolink:PhysiologicalProcess
biolink:Disease,biolink:causes,biolink:PhysiologicalProcess
biolink:InformationContentEntity,biolink:affects,biolink:PhysiologicalProcess
biolink:PathologicalProcess,biolink:disrupts,biolink:PhysiologicalProcess
biolink:Procedure,biolink:positively_regulates_entity_to_entity,biolink:PhysiologicalProcess
biolink:PhysicalEntity,biolink:close_match,biolink:InformationContentEntity
biolink:InformationContentEntity,biolink:related_to,biolink:PhysiologicalProcess
biolink:Cell,biolink:affects,biolink:PhysiologicalProcess
biolink:DiseaseOrPhenotypicFeature,biolink:affects,biolink:PhysiologicalProcess
biolink:PathologicalProcess,biolink:manifestation_of,biolink:PhysiologicalProcess
biolink:AnatomicalEntity,biolink:subclass_of,biolink:InformationContentEntity
biolink:BiologicalEntity,biolink:close_match,biolink:InformationContentEntity
biolink:Disease,biolink:coexists_with,biolink:GrossAnatomicalStructure
biolink:InformationContentEntity,biolink:coexists_with,biolink:AnatomicalEntity
biolink:Protein,biolink:occurs_in,biolink:GrossAnatomicalStructure
biolink:CellularComponent,biolink:positively_regulates,biolink:GrossAnatomicalStructure
biolink:IndividualOrganism,biolink:positively_regulates,biolink:GrossAnatomicalStructure
biolink:IndividualOrganism,biolink:occurs_in,biolink:GrossAnatomicalStructure
biolink:CellularComponent,biolink:occurs_in,biolink:GrossAnatomicalStructure
biolink:InformationContentEntity,biolink:occurs_in,biolink:GrossAnatomicalStructure
biolink:BiologicalEntity,biolink:disrupts,biolink:GrossAnatomicalStructure
biolink:DiseaseOrPhenotypicFeature,biolink:subclass_of,biolink:GrossAnatomicalStructure
biolink:PopulationOfIndividualOrganisms,biolink:positively_regulates,biolink:GrossAnatomicalStructure
biolink:PhenotypicFeature,biolink:close_match,biolink:AnatomicalEntity
biolink:AnatomicalEntity,biolink:physically_interacts_with,biolink:AnatomicalEntity
biolink:PhysicalEntity,biolink:close_match,biolink:GrossAnatomicalStructure
biolink:PathologicalProcess,biolink:affects,biolink:Phenomenon
biolink:Disease,biolink:affects,biolink:Phenomenon
biolink:NamedThing,biolink:quantifier_qualifier,biolink:Phenomenon
biolink:NamedThing,biolink:affects,biolink:Phenomenon
biolink:Phenomenon,biolink:affects,biolink:Phenomenon
biolink:MolecularEntity,biolink:affects,biolink:Phenomenon
biolink:NamedThing,biolink:subclass_of,biolink:Phenomenon
biolink:PhysicalEntity,biolink:close_match,biolink:Phenomenon
biolink:AnatomicalEntity,biolink:close_match,biolink:Phenomenon
biolink:Gene,biolink:related_to,biolink:GrossAnatomicalStructure
biolink:InformationContentEntity,biolink:affects,biolink:GrossAnatomicalStructure
biolink:Drug,biolink:part_of,biolink:GrossAnatomicalStructure
biolink:Cell,biolink:positively_regulates,biolink:GrossAnatomicalStructure
biolink:Device,biolink:related_to,biolink:GrossAnatomicalStructure
biolink:Procedure,biolink:part_of,biolink:GrossAnatomicalStructure
biolink:ChemicalSubstance,biolink:subclass_of,biolink:GrossAnatomicalStructure
biolink:PhysiologicalProcess,biolink:disrupts,biolink:GrossAnatomicalStructure
biolink:Disease,biolink:affects,biolink:AnatomicalEntity
biolink:ChemicalSubstance,biolink:subclass_of,biolink:InformationContentEntity
biolink:Phenomenon,biolink:subclass_of,biolink:InformationContentEntity
biolink:ChemicalSubstance,biolink:positively_regulates,biolink:InformationContentEntity
biolink:Protein,biolink:positively_regulates,biolink:InformationContentEntity
biolink:Phenomenon,biolink:affects,biolink:InformationContentEntity
biolink:PhysiologicalProcess,biolink:affects,biolink:InformationContentEntity
biolink:NamedThing,biolink:affects,biolink:InformationContentEntity
biolink:PathologicalProcess,biolink:affects,biolink:InformationContentEntity
biolink:GenomicEntity,biolink:affects,biolink:InformationContentEntity
biolink:InformationContentEntity,biolink:affects,biolink:InformationContentEntity
biolink:NamedThing,biolink:disrupts,biolink:InformationContentEntity
biolink:ChemicalSubstance,biolink:related_to,biolink:InformationContentEntity
biolink:MaterialSample,biolink:close_match,biolink:InformationContentEntity
biolink:InformationContentEntity,biolink:close_match,biolink:Phenomenon
biolink:GenomicEntity,biolink:subclass_of,biolink:ChemicalSubstance
biolink:BiologicalEntity,biolink:subclass_of,biolink:InformationContentEntity
biolink:InformationContentEntity,biolink:close_match,biolink:PhysiologicalProcess
biolink:Procedure,biolink:related_to,biolink:PhysiologicalProcess
biolink:Phenomenon,biolink:related_to,biolink:PhysiologicalProcess
biolink:InformationContentEntity,biolink:quantifier_qualifier,biolink:PhysiologicalProcess
biolink:ChemicalSubstance,biolink:treats,biolink:PhysiologicalProcess
biolink:Procedure,biolink:treats,biolink:PhysiologicalProcess
biolink:Activity,biolink:treats,biolink:PhysiologicalProcess
biolink:MolecularEntity,biolink:treats,biolink:PhysiologicalProcess
biolink:InformationContentEntity,biolink:treats,biolink:PhysiologicalProcess
biolink:IndividualOrganism,biolink:related_to,biolink:PhysiologicalProcess
biolink:Disease,biolink:physically_interacts_with,biolink:PhysiologicalProcess
biolink:DiseaseOrPhenotypicFeature,biolink:physically_interacts_with,biolink:PhysiologicalProcess
biolink:InformationContentEntity,biolink:close_match,biolink:CellularComponent
biolink:Disease,biolink:manifestation_of,biolink:Disease
biolink:Drug,biolink:affects,biolink:GrossAnatomicalStructure
biolink:DiseaseOrPhenotypicFeature,biolink:subclass_of,biolink:AnatomicalEntity
biolink:CellularComponent,biolink:subclass_of,biolink:AnatomicalEntity
biolink:MolecularEntity,biolink:subclass_of,biolink:GrossAnatomicalStructure
biolink:Activity,biolink:related_to,biolink:GrossAnatomicalStructure
biolink:ChemicalSubstance,biolink:subclass_of,biolink:Cell
biolink:Protein,biolink:related_to,biolink:GrossAnatomicalStructure
biolink:Disease,biolink:subclass_of,biolink:Cell
biolink:Drug,biolink:positively_regulates,biolink:GrossAnatomicalStructure
biolink:MolecularEntity,biolink:coexists_with,biolink:GrossAnatomicalStructure
biolink:ChemicalSubstance,biolink:coexists_with,biolink:GrossAnatomicalStructure
biolink:Gene,biolink:coexists_with,biolink:GrossAnatomicalStructure
biolink:GenomicEntity,biolink:coexists_with,biolink:GrossAnatomicalStructure
biolink:ChemicalSubstance,biolink:physically_interacts_with,biolink:GrossAnatomicalStructure
biolink:MolecularEntity,biolink:physically_interacts_with,biolink:GrossAnatomicalStructure
biolink:Gene,biolink:physically_interacts_with,biolink:GrossAnatomicalStructure
biolink:GenomicEntity,biolink:physically_interacts_with,biolink:GrossAnatomicalStructure
biolink:MolecularEntity,biolink:produces,biolink:GrossAnatomicalStructure
biolink:ChemicalSubstance,biolink:negatively_regulates_entity_to_entity,biolink:GrossAnatomicalStructure
biolink:PhysiologicalProcess,biolink:subclass_of,biolink:PhysiologicalProcess
biolink:BiologicalProcess,biolink:close_match,biolink:PhysiologicalProcess
biolink:Disease,biolink:coexists_with,biolink:PhysiologicalProcess
biolink:PathologicalProcess,biolink:precedes,biolink:PhysiologicalProcess
biolink:Protein,biolink:positively_regulates,biolink:PhysiologicalProcess
biolink:GenomicEntity,biolink:causes,biolink:PhysiologicalProcess
biolink:MolecularEntity,biolink:causes,biolink:PhysiologicalProcess
biolink:Gene,biolink:causes,biolink:PhysiologicalProcess
biolink:ChemicalSubstance,biolink:causes,biolink:PhysiologicalProcess
biolink:Protein,biolink:causes,biolink:PhysiologicalProcess
biolink:Protein,biolink:affects,biolink:PhysiologicalProcess
biolink:BiologicalEntity,biolink:affects,biolink:PhysiologicalProcess
biolink:Disease,biolink:disrupts,biolink:PhysiologicalProcess
biolink:Activity,biolink:disrupts,biolink:GrossAnatomicalStructure
biolink:AnatomicalEntity,biolink:close_match,biolink:DiseaseOrPhenotypicFeature
biolink:DiseaseOrPhenotypicFeature,biolink:affects,biolink:GrossAnatomicalStructure
biolink:DiseaseOrPhenotypicFeature,biolink:biomarker_for,biolink:Disease
biolink:CellularComponent,biolink:affects,biolink:Disease
biolink:Procedure,biolink:affects,biolink:Disease
biolink:Disease,biolink:biomarker_for,biolink:Disease
biolink:Disease,biolink:interacts_with,biolink:Disease
biolink:Agent,biolink:located_in,biolink:AnatomicalEntity
biolink:PopulationOfIndividualOrganisms,biolink:located_in,biolink:AnatomicalEntity
biolink:Cell,biolink:negatively_regulates_entity_to_entity,biolink:MolecularEntity
biolink:CellularComponent,biolink:related_to,biolink:Cell
biolink:GrossAnatomicalStructure,biolink:affects,biolink:GrossAnatomicalStructure
biolink:GrossAnatomicalStructure,biolink:related_to,biolink:DiseaseOrPhenotypicFeature
biolink:AnatomicalEntity,biolink:subclass_of,biolink:DiseaseOrPhenotypicFeature
biolink:DiseaseOrPhenotypicFeature,biolink:occurs_in,biolink:AnatomicalEntity
biolink:MolecularActivity,biolink:part_of,biolink:GrossAnatomicalStructure
biolink:Device,biolink:part_of,biolink:GrossAnatomicalStructure
biolink:BiologicalEntity,biolink:affects,biolink:MolecularEntity
biolink:PhysiologicalProcess,biolink:subclass_of,biolink:ChemicalSubstance
biolink:Disease,biolink:coexists_with,biolink:ChemicalSubstance
biolink:Disease,biolink:located_in,biolink:ChemicalSubstance
biolink:Procedure,biolink:located_in,biolink:ChemicalSubstance
biolink:Procedure,biolink:occurs_in,biolink:ChemicalSubstance
biolink:CellularComponent,biolink:derives_into,biolink:ChemicalSubstance
biolink:GenomicEntity,biolink:subclass_of,biolink:GenomicEntity
biolink:MolecularEntity,biolink:subclass_of,biolink:GenomicEntity
biolink:MolecularEntity,biolink:close_match,biolink:GenomicEntity
biolink:ChemicalSubstance,biolink:close_match,biolink:GenomicEntity
biolink:AnatomicalEntity,biolink:close_match,biolink:GenomicEntity
biolink:Disease,biolink:related_to,biolink:GenomicEntity
biolink:PathologicalProcess,biolink:related_to,biolink:GenomicEntity
biolink:MolecularEntity,biolink:related_to,biolink:GenomicEntity
biolink:GenomicEntity,biolink:related_to,biolink:GenomicEntity
biolink:ChemicalSubstance,biolink:related_to,biolink:GenomicEntity
biolink:Gene,biolink:related_to,biolink:GenomicEntity
biolink:ChemicalSubstance,biolink:part_of,biolink:GenomicEntity
biolink:MolecularEntity,biolink:part_of,biolink:GenomicEntity
biolink:GenomicEntity,biolink:part_of,biolink:GenomicEntity
biolink:NamedThing,biolink:part_of,biolink:GenomicEntity
biolink:Gene,biolink:coexists_with,biolink:GenomicEntity
biolink:MolecularEntity,biolink:coexists_with,biolink:GenomicEntity
biolink:ChemicalSubstance,biolink:coexists_with,biolink:GenomicEntity
biolink:Protein,biolink:coexists_with,biolink:GenomicEntity
biolink:NamedThing,biolink:coexists_with,biolink:GenomicEntity
biolink:GenomicEntity,biolink:coexists_with,biolink:GenomicEntity
biolink:IndividualOrganism,biolink:coexists_with,biolink:GenomicEntity
biolink:PhysiologicalProcess,biolink:located_in,biolink:GenomicEntity
biolink:Procedure,biolink:located_in,biolink:GenomicEntity
biolink:MolecularActivity,biolink:located_in,biolink:GenomicEntity
biolink:Disease,biolink:located_in,biolink:GenomicEntity
biolink:GenomicEntity,biolink:physically_interacts_with,biolink:GenomicEntity
biolink:ChemicalSubstance,biolink:physically_interacts_with,biolink:GenomicEntity
biolink:MolecularEntity,biolink:physically_interacts_with,biolink:GenomicEntity
biolink:IndividualOrganism,biolink:physically_interacts_with,biolink:GenomicEntity
biolink:NamedThing,biolink:physically_interacts_with,biolink:GenomicEntity
biolink:Gene,biolink:physically_interacts_with,biolink:GenomicEntity
biolink:Cell,biolink:physically_interacts_with,biolink:GenomicEntity
biolink:Protein,biolink:physically_interacts_with,biolink:GenomicEntity
biolink:PhysiologicalProcess,biolink:occurs_in,biolink:GenomicEntity
biolink:MolecularActivity,biolink:occurs_in,biolink:GenomicEntity
biolink:Procedure,biolink:occurs_in,biolink:GenomicEntity
biolink:Disease,biolink:occurs_in,biolink:GenomicEntity
biolink:GenomicEntity,biolink:occurs_in,biolink:GenomicEntity
biolink:Procedure,biolink:quantifier_qualifier,biolink:GenomicEntity
biolink:Procedure,biolink:has_input,biolink:GenomicEntity
biolink:PhysiologicalProcess,biolink:affects,biolink:GenomicEntity
biolink:MolecularActivity,biolink:affects,biolink:GenomicEntity
biolink:NamedThing,biolink:affects,biolink:GenomicEntity
biolink:Disease,biolink:affects,biolink:GenomicEntity
biolink:Gene,biolink:produces,biolink:GenomicEntity
biolink:MolecularEntity,biolink:produces,biolink:GenomicEntity
biolink:Cell,biolink:produces,biolink:GenomicEntity
biolink:NamedThing,biolink:produces,biolink:GenomicEntity
biolink:IndividualOrganism,biolink:produces,biolink:GenomicEntity
biolink:CellularComponent,biolink:produces,biolink:GenomicEntity
biolink:GrossAnatomicalStructure,biolink:produces,biolink:GenomicEntity
biolink:GenomicEntity,biolink:produces,biolink:GenomicEntity
biolink:AnatomicalEntity,biolink:produces,biolink:GenomicEntity
biolink:Protein,biolink:produces,biolink:GenomicEntity
biolink:MolecularEntity,biolink:negatively_regulates_entity_to_entity,biolink:GenomicEntity
biolink:ChemicalSubstance,biolink:negatively_regulates_entity_to_entity,biolink:GenomicEntity
biolink:GenomicEntity,biolink:negatively_regulates_entity_to_entity,biolink:GenomicEntity
biolink:Gene,biolink:negatively_regulates_entity_to_entity,biolink:GenomicEntity
biolink:Protein,biolink:positively_regulates_entity_to_entity,biolink:GenomicEntity
biolink:MolecularEntity,biolink:positively_regulates_entity_to_entity,biolink:GenomicEntity
biolink:Gene,biolink:positively_regulates_entity_to_entity,biolink:GenomicEntity
biolink:ChemicalSubstance,biolink:positively_regulates_entity_to_entity,biolink:GenomicEntity
biolink:GenomicEntity,biolink:positively_regulates_entity_to_entity,biolink:GenomicEntity
biolink:NamedThing,biolink:positively_regulates_entity_to_entity,biolink:GenomicEntity
biolink:ChemicalSubstance,biolink:derives_into,biolink:GenomicEntity
biolink:CellularComponent,biolink:subclass_of,biolink:GenomicEntity
biolink:ChemicalSubstance,biolink:subclass_of,biolink:GenomicEntity
biolink:Protein,biolink:subclass_of,biolink:GenomicEntity
biolink:NamedThing,biolink:subclass_of,biolink:GenomicEntity
biolink:BiologicalEntity,biolink:subclass_of,biolink:GenomicEntity
biolink:Disease,biolink:subclass_of,biolink:GenomicEntity
biolink:Protein,biolink:close_match,biolink:GenomicEntity
biolink:Procedure,biolink:close_match,biolink:GenomicEntity
biolink:Device,biolink:related_to,biolink:GenomicEntity
biolink:Procedure,biolink:related_to,biolink:GenomicEntity
biolink:NamedThing,biolink:related_to,biolink:GenomicEntity
biolink:BiologicalEntity,biolink:related_to,biolink:GenomicEntity
biolink:Protein,biolink:related_to,biolink:GenomicEntity
biolink:DiseaseOrPhenotypicFeature,biolink:related_to,biolink:GenomicEntity
biolink:InformationContentEntity,biolink:related_to,biolink:GenomicEntity
biolink:PhysiologicalProcess,biolink:related_to,biolink:GenomicEntity
biolink:IndividualOrganism,biolink:related_to,biolink:GenomicEntity
biolink:CellularComponent,biolink:related_to,biolink:GenomicEntity
biolink:Gene,biolink:part_of,biolink:GenomicEntity
biolink:Protein,biolink:part_of,biolink:GenomicEntity
biolink:BiologicalEntity,biolink:part_of,biolink:GenomicEntity
biolink:CellularComponent,biolink:coexists_with,biolink:GenomicEntity
biolink:MolecularActivity,biolink:coexists_with,biolink:GenomicEntity
biolink:Procedure,biolink:coexists_with,biolink:GenomicEntity
biolink:Disease,biolink:coexists_with,biolink:GenomicEntity
biolink:Phenomenon,biolink:coexists_with,biolink:GenomicEntity
biolink:BiologicalEntity,biolink:coexists_with,biolink:GenomicEntity
biolink:Activity,biolink:located_in,biolink:GenomicEntity
biolink:NamedThing,biolink:located_in,biolink:GenomicEntity
biolink:InformationContentEntity,biolink:located_in,biolink:GenomicEntity
biolink:BiologicalEntity,biolink:located_in,biolink:GenomicEntity
biolink:CellularComponent,biolink:physically_interacts_with,biolink:GenomicEntity
biolink:BiologicalEntity,biolink:physically_interacts_with,biolink:GenomicEntity
biolink:Phenomenon,biolink:physically_interacts_with,biolink:GenomicEntity
biolink:GrossAnatomicalStructure,biolink:physically_interacts_with,biolink:GenomicEntity
biolink:NamedThing,biolink:occurs_in,biolink:GenomicEntity
biolink:InformationContentEntity,biolink:occurs_in,biolink:GenomicEntity
biolink:BiologicalEntity,biolink:occurs_in,biolink:GenomicEntity
biolink:Activity,biolink:occurs_in,biolink:GenomicEntity
biolink:NamedThing,biolink:quantifier_qualifier,biolink:GenomicEntity
biolink:InformationContentEntity,biolink:quantifier_qualifier,biolink:GenomicEntity
biolink:PhysiologicalProcess,biolink:quantifier_qualifier,biolink:GenomicEntity
biolink:NamedThing,biolink:has_input,biolink:GenomicEntity
biolink:PhysiologicalProcess,biolink:has_input,biolink:GenomicEntity
biolink:ChemicalSubstance,biolink:has_input,biolink:GenomicEntity
biolink:MolecularEntity,biolink:has_input,biolink:GenomicEntity
biolink:Device,biolink:has_input,biolink:GenomicEntity
biolink:InformationContentEntity,biolink:has_input,biolink:GenomicEntity
biolink:Activity,biolink:has_input,biolink:GenomicEntity
biolink:Phenomenon,biolink:has_input,biolink:GenomicEntity
biolink:ChemicalSubstance,biolink:affects,biolink:GenomicEntity
biolink:MolecularEntity,biolink:affects,biolink:GenomicEntity
biolink:BiologicalEntity,biolink:affects,biolink:GenomicEntity
biolink:PathologicalProcess,biolink:affects,biolink:GenomicEntity
biolink:InformationContentEntity,biolink:affects,biolink:GenomicEntity
biolink:Protein,biolink:affects,biolink:GenomicEntity
biolink:GenomicEntity,biolink:affects,biolink:GenomicEntity
biolink:Activity,biolink:affects,biolink:GenomicEntity
biolink:Procedure,biolink:affects,biolink:GenomicEntity
biolink:BiologicalProcessOrActivity,biolink:affects,biolink:GenomicEntity
biolink:Disease,biolink:produces,biolink:GenomicEntity
biolink:ChemicalSubstance,biolink:produces,biolink:GenomicEntity
biolink:BiologicalEntity,biolink:produces,biolink:GenomicEntity
biolink:PhysiologicalProcess,biolink:produces,biolink:GenomicEntity
biolink:DiseaseOrPhenotypicFeature,biolink:produces,biolink:GenomicEntity
biolink:MolecularActivity,biolink:produces,biolink:GenomicEntity
biolink:InformationContentEntity,biolink:produces,biolink:GenomicEntity
biolink:Procedure,biolink:produces,biolink:GenomicEntity
biolink:Protein,biolink:negatively_regulates_entity_to_entity,biolink:GenomicEntity
biolink:NamedThing,biolink:negatively_regulates_entity_to_entity,biolink:GenomicEntity
biolink:Phenomenon,biolink:negatively_regulates_entity_to_entity,biolink:GenomicEntity
biolink:BiologicalEntity,biolink:negatively_regulates_entity_to_entity,biolink:GenomicEntity
biolink:CellularComponent,biolink:negatively_regulates_entity_to_entity,biolink:GenomicEntity
biolink:CellularComponent,biolink:positively_regulates_entity_to_entity,biolink:GenomicEntity
biolink:BiologicalEntity,biolink:positively_regulates_entity_to_entity,biolink:GenomicEntity
biolink:Phenomenon,biolink:positively_regulates_entity_to_entity,biolink:GenomicEntity
biolink:IndividualOrganism,biolink:positively_regulates_entity_to_entity,biolink:GenomicEntity
biolink:CellularComponent,biolink:derives_into,biolink:GenomicEntity
biolink:MolecularEntity,biolink:derives_into,biolink:GenomicEntity
biolink:GenomicEntity,biolink:derives_into,biolink:GenomicEntity
biolink:Gene,biolink:derives_into,biolink:GenomicEntity
biolink:Phenomenon,biolink:derives_into,biolink:GenomicEntity
biolink:IndividualOrganism,biolink:derives_into,biolink:GenomicEntity
biolink:Protein,biolink:derives_into,biolink:GenomicEntity
biolink:NamedThing,biolink:derives_into,biolink:GenomicEntity
biolink:Disease,biolink:part_of,biolink:CellularComponent
biolink:BiologicalEntity,biolink:affects,biolink:CellularComponent
biolink:PhysiologicalProcess,biolink:related_to,biolink:CellularComponent
biolink:BiologicalEntity,biolink:positively_regulates,biolink:CellularComponent
biolink:Phenomenon,biolink:related_to,biolink:InformationContentEntity
biolink:IndividualOrganism,biolink:located_in,biolink:InformationContentEntity
biolink:MolecularEntity,biolink:part_of,biolink:InformationContentEntity
biolink:Gene,biolink:part_of,biolink:InformationContentEntity
biolink:GrossAnatomicalStructure,biolink:located_in,biolink:InformationContentEntity
biolink:AnatomicalEntity,biolink:located_in,biolink:InformationContentEntity
biolink:PathologicalProcess,biolink:located_in,biolink:InformationContentEntity
biolink:DiseaseOrPhenotypicFeature,biolink:located_in,biolink:InformationContentEntity
biolink:Disease,biolink:located_in,biolink:InformationContentEntity
biolink:PhysiologicalProcess,biolink:located_in,biolink:InformationContentEntity
biolink:Activity,biolink:located_in,biolink:InformationContentEntity
biolink:Phenomenon,biolink:located_in,biolink:InformationContentEntity
biolink:GrossAnatomicalStructure,biolink:related_to,biolink:InformationContentEntity
biolink:Protein,biolink:part_of,biolink:InformationContentEntity
biolink:GenomicEntity,biolink:part_of,biolink:InformationContentEntity
biolink:PhenotypicFeature,biolink:close_match,biolink:InformationContentEntity
biolink:Activity,biolink:related_to,biolink:InformationContentEntity
biolink:Activity,biolink:affects,biolink:PhysiologicalProcess
biolink:AnatomicalEntity,biolink:affects,biolink:PhysiologicalProcess
biolink:PathologicalProcess,biolink:related_to,biolink:Cell
biolink:PhenotypicFeature,biolink:close_match,biolink:Cell
biolink:MolecularActivity,biolink:related_to,biolink:GrossAnatomicalStructure
biolink:MolecularActivity,biolink:affects,biolink:GrossAnatomicalStructure
biolink:PhysiologicalProcess,biolink:affects,biolink:AnatomicalEntity
biolink:MaterialSample,biolink:close_match,biolink:GrossAnatomicalStructure
biolink:Disease,biolink:close_match,biolink:AnatomicalEntity
biolink:AnatomicalEntity,biolink:coexists_with,biolink:Disease
biolink:Disease,biolink:precedes,biolink:Disease
biolink:IndividualOrganism,biolink:located_in,biolink:Disease
biolink:Procedure,biolink:quantifier_qualifier,biolink:Disease
biolink:Device,biolink:causes,biolink:Disease
biolink:AnatomicalEntity,biolink:causes,biolink:Disease
biolink:NamedThing,biolink:causes,biolink:Disease
biolink:Disease,biolink:affects,biolink:Disease
biolink:PathologicalProcess,biolink:affects,biolink:Disease
biolink:PhysiologicalProcess,biolink:affects,biolink:Disease
biolink:PathologicalProcess,biolink:biomarker_for,biolink:Disease
biolink:PathologicalProcess,biolink:manifestation_of,biolink:Disease
biolink:DiseaseOrPhenotypicFeature,biolink:subclass_of,biolink:Cell
biolink:IndividualOrganism,biolink:subclass_of,biolink:GrossAnatomicalStructure
biolink:Activity,biolink:treats,biolink:GrossAnatomicalStructure
biolink:CellularComponent,biolink:affects,biolink:MolecularEntity
biolink:CellularComponent,biolink:subclass_of,biolink:MolecularEntity
biolink:GenomicEntity,biolink:part_of,biolink:Protein
biolink:Disease,biolink:located_in,biolink:Protein
biolink:MolecularActivity,biolink:located_in,biolink:Protein
biolink:MolecularActivity,biolink:occurs_in,biolink:Protein
biolink:NamedThing,biolink:occurs_in,biolink:Protein
biolink:Disease,biolink:occurs_in,biolink:Protein
biolink:Protein,biolink:affects,biolink:Protein
biolink:BiologicalProcessOrActivity,biolink:affects,biolink:Protein
biolink:Disease,biolink:produces,biolink:Protein
biolink:IndividualOrganism,biolink:produces,biolink:Protein
biolink:PhysiologicalProcess,biolink:produces,biolink:Protein
biolink:Procedure,biolink:produces,biolink:Protein
biolink:Protein,biolink:produces,biolink:Protein
biolink:MolecularActivity,biolink:produces,biolink:Protein
biolink:ChemicalSubstance,biolink:produces,biolink:Protein
biolink:GenomicEntity,biolink:derives_into,biolink:Protein
biolink:PhysiologicalProcess,biolink:produces,biolink:Cell
biolink:ChemicalSubstance,biolink:close_match,biolink:CellularComponent
biolink:PhysiologicalProcess,biolink:related_to,biolink:PhysiologicalProcess
biolink:GenomicEntity,biolink:related_to,biolink:AnatomicalEntity
biolink:GenomicEntity,biolink:subclass_of,biolink:Protein
biolink:ChemicalSubstance,biolink:subclass_of,biolink:Protein
biolink:BiologicalEntity,biolink:subclass_of,biolink:Protein
biolink:NamedThing,biolink:subclass_of,biolink:Protein
biolink:CellularComponent,biolink:subclass_of,biolink:Protein
biolink:GenomicEntity,biolink:close_match,biolink:Protein
biolink:DiseaseOrPhenotypicFeature,biolink:related_to,biolink:Protein
biolink:CellularComponent,biolink:related_to,biolink:Protein
biolink:Gene,biolink:part_of,biolink:Protein
biolink:IndividualOrganism,biolink:coexists_with,biolink:Protein
biolink:CellularComponent,biolink:coexists_with,biolink:Protein
biolink:BiologicalEntity,biolink:located_in,biolink:Protein
biolink:NamedThing,biolink:located_in,biolink:Protein
biolink:Activity,biolink:located_in,biolink:Protein
biolink:InformationContentEntity,biolink:located_in,biolink:Protein
biolink:CellularComponent,biolink:physically_interacts_with,biolink:Protein
