subject,predicate,object
biolink:OrganismalEntity,biolink:quantifier_qualifier,biolink:Procedure
biolink:Disease,biolink:quantifier_qualifier,biolink:Procedure
biolink:DiseaseOrPhenotypicFeature,biolink:quantifier_qualifier,biolink:Procedure
biolink:PhenotypicFeature,biolink:quantifier_qualifier,biolink:Procedure
biolink:OntologyClass,biolink:quantifier_qualifier,biolink:Procedure
biolink:InformationContentEntity,biolink:has_input,biolink:Procedure
biolink:Device,biolink:has_input,biolink:Procedure
biolink:Activity,biolink:has_input,biolink:Procedure
biolink:NamedThing,biolink:affects,biolink:Procedure
biolink:Procedure,biolink:affects,biolink:Procedure
biolink:NamedThing,biolink:has_attribute,biolink:Procedure
biolink:BiologicalEntity,biolink:has_attribute,biolink:Procedure
biolink:BiologicalProcess,biolink:has_attribute,biolink:Procedure
biolink:BiologicalProcessOrActivity,biolink:has_attribute,biolink:Procedure
biolink:PhysiologicalProcess,biolink:has_attribute,biolink:Procedure
biolink:Phenomenon,biolink:related_to,biolink:Procedure
biolink:AdministrativeEntity,biolink:precedes,biolink:Procedure
biolink:Agent,biolink:precedes,biolink:Procedure
biolink:ChemicalSubstance,biolink:part_of,biolink:Procedure
biolink:Drug,biolink:part_of,biolink:Procedure
biolink:MolecularEntity,biolink:part_of,biolink:Procedure
biolink:Procedure,biolink:part_of,biolink:NamedThing
biolink:Procedure,biolink:part_of,biolink:Procedure
biolink:IndividualOrganism,biolink:related_to,biolink:Procedure
biolink:AdministrativeEntity,biolink:coexists_with,biolink:Procedure
biolink:Agent,biolink:coexists_with,biolink:Procedure
biolink:OrganismalEntity,biolink:precedes,biolink:Procedure
biolink:IndividualOrganism,biolink:precedes,biolink:Procedure
biolink:InformationContentEntity,biolink:precedes,biolink:Procedure
biolink:Phenomenon,biolink:related_to,biolink:Gene
biolink:Phenomenon,biolink:related_to,biolink:GenomicEntity
biolink:Phenomenon,biolink:related_to,biolink:Protein
biolink:RelationshipType,biolink:subclass_of,biolink:ChemicalSubstance
biolink:RelationshipType,biolink:subclass_of,biolink:Drug
biolink:GeneFamily,biolink:close_match,biolink:AnatomicalEntity
biolink:GeneFamily,biolink:close_match,biolink:OrganismalEntity
biolink:InformationContentEntity,biolink:precedes,biolink:AnatomicalEntity
biolink:InformationContentEntity,biolink:precedes,biolink:OrganismalEntity
biolink:Gene,biolink:participates_in,biolink:AnatomicalEntity
biolink:Gene,biolink:participates_in,biolink:OrganismalEntity
biolink:GenomicEntity,biolink:participates_in,biolink:AnatomicalEntity
biolink:GenomicEntity,biolink:participates_in,biolink:OrganismalEntity
biolink:Protein,biolink:participates_in,biolink:AnatomicalEntity
biolink:Protein,biolink:participates_in,biolink:OrganismalEntity
biolink:GeneFamily,biolink:physically_interacts_with,biolink:Disease
biolink:GeneFamily,biolink:physically_interacts_with,biolink:DiseaseOrPhenotypicFeature
biolink:GeneFamily,biolink:physically_interacts_with,biolink:PhenotypicFeature
biolink:Phenomenon,biolink:physically_interacts_with,biolink:Disease
biolink:Phenomenon,biolink:physically_interacts_with,biolink:DiseaseOrPhenotypicFeature
biolink:Phenomenon,biolink:physically_interacts_with,biolink:PhenotypicFeature
biolink:OntologyClass,biolink:close_match,biolink:Disease
biolink:OntologyClass,biolink:close_match,biolink:DiseaseOrPhenotypicFeature
biolink:OntologyClass,biolink:close_match,biolink:PhenotypicFeature
biolink:PhysiologicalProcess,biolink:coexists_with,biolink:Disease
biolink:PhysiologicalProcess,biolink:coexists_with,biolink:DiseaseOrPhenotypicFeature
biolink:PhysiologicalProcess,biolink:coexists_with,biolink:PhenotypicFeature
biolink:Procedure,biolink:coexists_with,biolink:Disease
biolink:Procedure,biolink:coexists_with,biolink:DiseaseOrPhenotypicFeature
biolink:Procedure,biolink:coexists_with,biolink:PhenotypicFeature
biolink:Activity,biolink:coexists_with,biolink:NamedThing
biolink:Activity,biolink:coexists_with,biolink:BiologicalEntity
biolink:Activity,biolink:coexists_with,biolink:Disease
biolink:Activity,biolink:coexists_with,biolink:DiseaseOrPhenotypicFeature
biolink:Activity,biolink:coexists_with,biolink:PhenotypicFeature
biolink:GeneFamily,biolink:coexists_with,biolink:Disease
biolink:GeneFamily,biolink:coexists_with,biolink:DiseaseOrPhenotypicFeature
biolink:GeneFamily,biolink:coexists_with,biolink:PhenotypicFeature
biolink:ChemicalSubstance,biolink:quantifier_qualifier,biolink:Disease
biolink:ChemicalSubstance,biolink:quantifier_qualifier,biolink:DiseaseOrPhenotypicFeature
biolink:ChemicalSubstance,biolink:quantifier_qualifier,biolink:PhenotypicFeature
biolink:Drug,biolink:quantifier_qualifier,biolink:Disease
biolink:Drug,biolink:quantifier_qualifier,biolink:DiseaseOrPhenotypicFeature
biolink:Drug,biolink:quantifier_qualifier,biolink:PhenotypicFeature
biolink:MolecularEntity,biolink:quantifier_qualifier,biolink:Disease
biolink:MolecularEntity,biolink:quantifier_qualifier,biolink:DiseaseOrPhenotypicFeature
biolink:MolecularEntity,biolink:quantifier_qualifier,biolink:PhenotypicFeature
biolink:OntologyClass,biolink:quantifier_qualifier,biolink:Disease
biolink:OntologyClass,biolink:quantifier_qualifier,biolink:DiseaseOrPhenotypicFeature
biolink:OntologyClass,biolink:quantifier_qualifier,biolink:PhenotypicFeature
biolink:OntologyClass,biolink:has_input,biolink:Disease
biolink:OntologyClass,biolink:has_input,biolink:DiseaseOrPhenotypicFeature
biolink:OntologyClass,biolink:has_input,biolink:PhenotypicFeature
biolink:InformationContentEntity,biolink:has_input,biolink:Disease
biolink:InformationContentEntity,biolink:has_input,biolink:DiseaseOrPhenotypicFeature
biolink:InformationContentEntity,biolink:has_input,biolink:PhenotypicFeature
biolink:BiologicalProcessOrActivity,biolink:has_input,biolink:Disease
biolink:BiologicalProcessOrActivity,biolink:has_input,biolink:DiseaseOrPhenotypicFeature
biolink:BiologicalProcessOrActivity,biolink:has_input,biolink:PhenotypicFeature
biolink:MolecularActivity,biolink:has_input,biolink:Disease
biolink:MolecularActivity,biolink:has_input,biolink:DiseaseOrPhenotypicFeature
biolink:MolecularActivity,biolink:has_input,biolink:PhenotypicFeature
biolink:ChemicalSubstance,biolink:produces,biolink:Disease
biolink:ChemicalSubstance,biolink:produces,biolink:DiseaseOrPhenotypicFeature
biolink:ChemicalSubstance,biolink:produces,biolink:PhenotypicFeature
biolink:Drug,biolink:produces,biolink:Disease
biolink:Drug,biolink:produces,biolink:DiseaseOrPhenotypicFeature
biolink:Drug,biolink:produces,biolink:PhenotypicFeature
biolink:Gene,biolink:derives_into,biolink:Disease
biolink:Gene,biolink:derives_into,biolink:DiseaseOrPhenotypicFeature
biolink:Gene,biolink:derives_into,biolink:PhenotypicFeature
biolink:GenomicEntity,biolink:derives_into,biolink:Disease
biolink:GenomicEntity,biolink:derives_into,biolink:DiseaseOrPhenotypicFeature
biolink:GenomicEntity,biolink:derives_into,biolink:PhenotypicFeature
biolink:Protein,biolink:derives_into,biolink:Disease
biolink:Protein,biolink:derives_into,biolink:DiseaseOrPhenotypicFeature
biolink:Protein,biolink:derives_into,biolink:PhenotypicFeature
biolink:InformationContentEntity,biolink:affects,biolink:Disease
biolink:InformationContentEntity,biolink:affects,biolink:DiseaseOrPhenotypicFeature
biolink:InformationContentEntity,biolink:affects,biolink:PhenotypicFeature
biolink:AdministrativeEntity,biolink:affects,biolink:NamedThing
biolink:AdministrativeEntity,biolink:affects,biolink:BiologicalEntity
biolink:AdministrativeEntity,biolink:affects,biolink:Disease
biolink:AdministrativeEntity,biolink:affects,biolink:DiseaseOrPhenotypicFeature
biolink:AdministrativeEntity,biolink:affects,biolink:PhenotypicFeature
biolink:Agent,biolink:affects,biolink:NamedThing
biolink:Agent,biolink:affects,biolink:BiologicalEntity
biolink:Agent,biolink:affects,biolink:Disease
biolink:Agent,biolink:affects,biolink:DiseaseOrPhenotypicFeature
biolink:Agent,biolink:affects,biolink:PhenotypicFeature
biolink:PathologicalProcess,biolink:affects,biolink:NamedThing
biolink:PathologicalProcess,biolink:affects,biolink:BiologicalEntity
biolink:PathologicalProcess,biolink:affects,biolink:Disease
biolink:PathologicalProcess,biolink:affects,biolink:DiseaseOrPhenotypicFeature
biolink:PathologicalProcess,biolink:affects,biolink:PhenotypicFeature
biolink:Activity,biolink:affects,biolink:Disease
biolink:Activity,biolink:affects,biolink:DiseaseOrPhenotypicFeature
biolink:Activity,biolink:affects,biolink:PhenotypicFeature
biolink:Procedure,biolink:precedes,biolink:Disease
biolink:Procedure,biolink:precedes,biolink:DiseaseOrPhenotypicFeature
biolink:Procedure,biolink:precedes,biolink:PhenotypicFeature
biolink:AnatomicalEntity,biolink:precedes,biolink:Disease
biolink:AnatomicalEntity,biolink:precedes,biolink:DiseaseOrPhenotypicFeature
biolink:AnatomicalEntity,biolink:precedes,biolink:PhenotypicFeature
biolink:OrganismalEntity,biolink:precedes,biolink:Disease
biolink:OrganismalEntity,biolink:precedes,biolink:DiseaseOrPhenotypicFeature
biolink:OrganismalEntity,biolink:precedes,biolink:PhenotypicFeature
biolink:BiologicalProcess,biolink:precedes,biolink:Disease
biolink:BiologicalProcess,biolink:precedes,biolink:DiseaseOrPhenotypicFeature
biolink:BiologicalProcess,biolink:precedes,biolink:PhenotypicFeature
biolink:BiologicalProcessOrActivity,biolink:precedes,biolink:Disease
biolink:BiologicalProcessOrActivity,biolink:precedes,biolink:DiseaseOrPhenotypicFeature
biolink:BiologicalProcessOrActivity,biolink:precedes,biolink:PhenotypicFeature
biolink:PhysiologicalProcess,biolink:precedes,biolink:Disease
biolink:PhysiologicalProcess,biolink:precedes,biolink:DiseaseOrPhenotypicFeature
biolink:PhysiologicalProcess,biolink:precedes,biolink:PhenotypicFeature
biolink:ChemicalSubstance,biolink:has_attribute,biolink:Disease
biolink:ChemicalSubstance,biolink:has_attribute,biolink:DiseaseOrPhenotypicFeature
biolink:ChemicalSubstance,biolink:has_attribute,biolink:PhenotypicFeature
biolink:Drug,biolink:has_attribute,biolink:Disease
biolink:Drug,biolink:has_attribute,biolink:DiseaseOrPhenotypicFeature
biolink:Drug,biolink:has_attribute,biolink:PhenotypicFeature
biolink:MolecularEntity,biolink:has_attribute,biolink:Disease
biolink:MolecularEntity,biolink:has_attribute,biolink:DiseaseOrPhenotypicFeature
biolink:MolecularEntity,biolink:has_attribute,biolink:PhenotypicFeature
biolink:Activity,biolink:causes,biolink:NamedThing
biolink:Activity,biolink:causes,biolink:BiologicalEntity
biolink:Activity,biolink:causes,biolink:Disease
biolink:Activity,biolink:causes,biolink:DiseaseOrPhenotypicFeature
biolink:Activity,biolink:causes,biolink:PhenotypicFeature
biolink:GeneFamily,biolink:causes,biolink:NamedThing
biolink:GeneFamily,biolink:causes,biolink:BiologicalEntity
biolink:GeneFamily,biolink:causes,biolink:Disease
biolink:GeneFamily,biolink:causes,biolink:DiseaseOrPhenotypicFeature
biolink:GeneFamily,biolink:causes,biolink:PhenotypicFeature
biolink:OntologyClass,biolink:positively_regulates,biolink:Disease
biolink:OntologyClass,biolink:positively_regulates,biolink:DiseaseOrPhenotypicFeature
biolink:OntologyClass,biolink:positively_regulates,biolink:PhenotypicFeature
biolink:GeneFamily,biolink:positively_regulates,biolink:Disease
biolink:GeneFamily,biolink:positively_regulates,biolink:DiseaseOrPhenotypicFeature
biolink:GeneFamily,biolink:positively_regulates,biolink:PhenotypicFeature
biolink:Procedure,biolink:positively_regulates,biolink:Disease
biolink:Procedure,biolink:positively_regulates,biolink:DiseaseOrPhenotypicFeature
biolink:Procedure,biolink:positively_regulates,biolink:PhenotypicFeature
biolink:GeneFamily,biolink:disrupts,biolink:Disease
biolink:GeneFamily,biolink:disrupts,biolink:DiseaseOrPhenotypicFeature
biolink:GeneFamily,biolink:disrupts,biolink:PhenotypicFeature
biolink:Procedure,biolink:disrupts,biolink:BiologicalEntity
biolink:Procedure,biolink:disrupts,biolink:Disease
biolink:Procedure,biolink:disrupts,biolink:DiseaseOrPhenotypicFeature
biolink:Procedure,biolink:disrupts,biolink:PhenotypicFeature
biolink:Phenomenon,biolink:biomarker_for,biolink:NamedThing
biolink:Phenomenon,biolink:biomarker_for,biolink:BiologicalEntity
biolink:Phenomenon,biolink:biomarker_for,biolink:Disease
biolink:Phenomenon,biolink:biomarker_for,biolink:DiseaseOrPhenotypicFeature
biolink:Phenomenon,biolink:biomarker_for,biolink:PhenotypicFeature
biolink:NamedThing,biolink:interacts_with,biolink:NamedThing
biolink:NamedThing,biolink:interacts_with,biolink:BiologicalEntity
biolink:NamedThing,biolink:interacts_with,biolink:Disease
biolink:NamedThing,biolink:interacts_with,biolink:DiseaseOrPhenotypicFeature
biolink:NamedThing,biolink:interacts_with,biolink:PhenotypicFeature
biolink:BiologicalEntity,biolink:interacts_with,biolink:NamedThing
biolink:BiologicalEntity,biolink:interacts_with,biolink:BiologicalEntity
biolink:BiologicalEntity,biolink:interacts_with,biolink:Disease
biolink:BiologicalEntity,biolink:interacts_with,biolink:DiseaseOrPhenotypicFeature
biolink:BiologicalEntity,biolink:interacts_with,biolink:PhenotypicFeature
biolink:MolecularEntity,biolink:interacts_with,biolink:NamedThing
biolink:MolecularEntity,biolink:interacts_with,biolink:BiologicalEntity
biolink:MolecularEntity,biolink:interacts_with,biolink:Disease
biolink:MolecularEntity,biolink:interacts_with,biolink:DiseaseOrPhenotypicFeature
biolink:MolecularEntity,biolink:interacts_with,biolink:PhenotypicFeature
biolink:Gene,biolink:interacts_with,biolink:NamedThing
biolink:Gene,biolink:interacts_with,biolink:BiologicalEntity
biolink:Gene,biolink:interacts_with,biolink:Disease
biolink:Gene,biolink:interacts_with,biolink:DiseaseOrPhenotypicFeature
biolink:Gene,biolink:interacts_with,biolink:PhenotypicFeature
biolink:GenomicEntity,biolink:interacts_with,biolink:NamedThing
biolink:GenomicEntity,biolink:interacts_with,biolink:BiologicalEntity
biolink:GenomicEntity,biolink:interacts_with,biolink:Disease
biolink:GenomicEntity,biolink:interacts_with,biolink:DiseaseOrPhenotypicFeature
biolink:GenomicEntity,biolink:interacts_with,biolink:PhenotypicFeature
biolink:Protein,biolink:interacts_with,biolink:NamedThing
biolink:Protein,biolink:interacts_with,biolink:BiologicalEntity
biolink:Protein,biolink:interacts_with,biolink:Disease
biolink:Protein,biolink:interacts_with,biolink:DiseaseOrPhenotypicFeature
biolink:Protein,biolink:interacts_with,biolink:PhenotypicFeature
biolink:Gene,biolink:predisposes,biolink:BiologicalEntity
biolink:Gene,biolink:predisposes,biolink:Disease
biolink:Gene,biolink:predisposes,biolink:DiseaseOrPhenotypicFeature
biolink:Gene,biolink:predisposes,biolink:PhenotypicFeature
biolink:GenomicEntity,biolink:predisposes,biolink:BiologicalEntity
biolink:GenomicEntity,biolink:predisposes,biolink:Disease
biolink:GenomicEntity,biolink:predisposes,biolink:DiseaseOrPhenotypicFeature
biolink:GenomicEntity,biolink:predisposes,biolink:PhenotypicFeature
biolink:Protein,biolink:predisposes,biolink:BiologicalEntity
biolink:Protein,biolink:predisposes,biolink:Disease
biolink:Protein,biolink:predisposes,biolink:DiseaseOrPhenotypicFeature
biolink:Protein,biolink:predisposes,biolink:PhenotypicFeature
biolink:GeneFamily,biolink:predisposes,biolink:NamedThing
biolink:GeneFamily,biolink:predisposes,biolink:BiologicalEntity
biolink:GeneFamily,biolink:predisposes,biolink:Disease
biolink:GeneFamily,biolink:predisposes,biolink:DiseaseOrPhenotypicFeature
biolink:GeneFamily,biolink:predisposes,biolink:PhenotypicFeature
biolink:PathologicalProcess,biolink:predisposes,biolink:NamedThing
biolink:PathologicalProcess,biolink:predisposes,biolink:BiologicalEntity
biolink:PathologicalProcess,biolink:predisposes,biolink:Disease
biolink:PathologicalProcess,biolink:predisposes,biolink:DiseaseOrPhenotypicFeature
biolink:PathologicalProcess,biolink:predisposes,biolink:PhenotypicFeature
biolink:AnatomicalEntity,biolink:manifestation_of,biolink:NamedThing
biolink:AnatomicalEntity,biolink:manifestation_of,biolink:BiologicalEntity
biolink:AnatomicalEntity,biolink:manifestation_of,biolink:Disease
biolink:AnatomicalEntity,biolink:manifestation_of,biolink:DiseaseOrPhenotypicFeature
biolink:AnatomicalEntity,biolink:manifestation_of,biolink:PhenotypicFeature
biolink:OrganismalEntity,biolink:manifestation_of,biolink:NamedThing
biolink:OrganismalEntity,biolink:manifestation_of,biolink:BiologicalEntity
biolink:OrganismalEntity,biolink:manifestation_of,biolink:Disease
biolink:OrganismalEntity,biolink:manifestation_of,biolink:DiseaseOrPhenotypicFeature
biolink:OrganismalEntity,biolink:manifestation_of,biolink:PhenotypicFeature
biolink:PhysiologicalProcess,biolink:manifestation_of,biolink:NamedThing
biolink:PhysiologicalProcess,biolink:manifestation_of,biolink:BiologicalEntity
biolink:PhysiologicalProcess,biolink:manifestation_of,biolink:Disease
biolink:PhysiologicalProcess,biolink:manifestation_of,biolink:DiseaseOrPhenotypicFeature
biolink:PhysiologicalProcess,biolink:manifestation_of,biolink:PhenotypicFeature
biolink:OntologyClass,biolink:manifestation_of,biolink:NamedThing
biolink:OntologyClass,biolink:manifestation_of,biolink:BiologicalEntity
biolink:OntologyClass,biolink:manifestation_of,biolink:Disease
biolink:OntologyClass,biolink:manifestation_of,biolink:DiseaseOrPhenotypicFeature
biolink:OntologyClass,biolink:manifestation_of,biolink:PhenotypicFeature
biolink:NamedThing,biolink:actively_involved_in,biolink:NamedThing
biolink:NamedThing,biolink:actively_involved_in,biolink:BiologicalEntity
biolink:NamedThing,biolink:actively_involved_in,biolink:Disease
biolink:NamedThing,biolink:actively_involved_in,biolink:DiseaseOrPhenotypicFeature
biolink:NamedThing,biolink:actively_involved_in,biolink:PhenotypicFeature
biolink:BiologicalEntity,biolink:actively_involved_in,biolink:NamedThing
biolink:BiologicalEntity,biolink:actively_involved_in,biolink:BiologicalEntity
biolink:BiologicalEntity,biolink:actively_involved_in,biolink:Disease
biolink:BiologicalEntity,biolink:actively_involved_in,biolink:DiseaseOrPhenotypicFeature
biolink:BiologicalEntity,biolink:actively_involved_in,biolink:PhenotypicFeature
biolink:Disease,biolink:actively_involved_in,biolink:NamedThing
biolink:Disease,biolink:actively_involved_in,biolink:BiologicalEntity
biolink:Disease,biolink:actively_involved_in,biolink:Disease
biolink:Disease,biolink:actively_involved_in,biolink:DiseaseOrPhenotypicFeature
biolink:Disease,biolink:actively_involved_in,biolink:PhenotypicFeature
biolink:DiseaseOrPhenotypicFeature,biolink:actively_involved_in,biolink:NamedThing
biolink:DiseaseOrPhenotypicFeature,biolink:actively_involved_in,biolink:BiologicalEntity
biolink:DiseaseOrPhenotypicFeature,biolink:actively_involved_in,biolink:Disease
biolink:DiseaseOrPhenotypicFeature,biolink:actively_involved_in,biolink:DiseaseOrPhenotypicFeature
biolink:DiseaseOrPhenotypicFeature,biolink:actively_involved_in,biolink:PhenotypicFeature
biolink:PhenotypicFeature,biolink:actively_involved_in,biolink:NamedThing
biolink:PhenotypicFeature,biolink:actively_involved_in,biolink:BiologicalEntity
biolink:PhenotypicFeature,biolink:actively_involved_in,biolink:Disease
biolink:PhenotypicFeature,biolink:actively_involved_in,biolink:DiseaseOrPhenotypicFeature
biolink:PhenotypicFeature,biolink:actively_involved_in,biolink:PhenotypicFeature
biolink:MolecularEntity,biolink:actively_involved_in,biolink:NamedThing
biolink:MolecularEntity,biolink:actively_involved_in,biolink:BiologicalEntity
biolink:MolecularEntity,biolink:actively_involved_in,biolink:Disease
biolink:MolecularEntity,biolink:actively_involved_in,biolink:DiseaseOrPhenotypicFeature
biolink:MolecularEntity,biolink:actively_involved_in,biolink:PhenotypicFeature
biolink:Gene,biolink:actively_involved_in,biolink:NamedThing
biolink:Gene,biolink:actively_involved_in,biolink:BiologicalEntity
biolink:Gene,biolink:actively_involved_in,biolink:Disease
biolink:Gene,biolink:actively_involved_in,biolink:DiseaseOrPhenotypicFeature
biolink:Gene,biolink:actively_involved_in,biolink:PhenotypicFeature
biolink:GenomicEntity,biolink:actively_involved_in,biolink:NamedThing
biolink:GenomicEntity,biolink:actively_involved_in,biolink:BiologicalEntity
biolink:GenomicEntity,biolink:actively_involved_in,biolink:Disease
biolink:GenomicEntity,biolink:actively_involved_in,biolink:DiseaseOrPhenotypicFeature
biolink:GenomicEntity,biolink:actively_involved_in,biolink:PhenotypicFeature
biolink:Protein,biolink:actively_involved_in,biolink:NamedThing
biolink:Protein,biolink:actively_involved_in,biolink:BiologicalEntity
biolink:Protein,biolink:actively_involved_in,biolink:Disease
biolink:Protein,biolink:actively_involved_in,biolink:DiseaseOrPhenotypicFeature
biolink:Protein,biolink:actively_involved_in,biolink:PhenotypicFeature
biolink:ChemicalSubstance,biolink:actively_involved_in,biolink:NamedThing
biolink:ChemicalSubstance,biolink:actively_involved_in,biolink:BiologicalEntity
biolink:ChemicalSubstance,biolink:actively_involved_in,biolink:Disease
biolink:ChemicalSubstance,biolink:actively_involved_in,biolink:DiseaseOrPhenotypicFeature
biolink:ChemicalSubstance,biolink:actively_involved_in,biolink:PhenotypicFeature
biolink:Drug,biolink:actively_involved_in,biolink:NamedThing
biolink:Drug,biolink:actively_involved_in,biolink:BiologicalEntity
biolink:Drug,biolink:actively_involved_in,biolink:Disease
biolink:Drug,biolink:actively_involved_in,biolink:DiseaseOrPhenotypicFeature
biolink:Drug,biolink:actively_involved_in,biolink:PhenotypicFeature
biolink:NamedThing,biolink:participates_in,biolink:Disease
biolink:NamedThing,biolink:participates_in,biolink:DiseaseOrPhenotypicFeature
biolink:NamedThing,biolink:participates_in,biolink:PhenotypicFeature
biolink:BiologicalEntity,biolink:participates_in,biolink:Disease
biolink:BiologicalEntity,biolink:participates_in,biolink:DiseaseOrPhenotypicFeature
biolink:BiologicalEntity,biolink:participates_in,biolink:PhenotypicFeature
biolink:Disease,biolink:participates_in,biolink:NamedThing
biolink:Disease,biolink:participates_in,biolink:BiologicalEntity
biolink:Disease,biolink:participates_in,biolink:Disease
biolink:Disease,biolink:participates_in,biolink:DiseaseOrPhenotypicFeature
biolink:Disease,biolink:participates_in,biolink:PhenotypicFeature
biolink:DiseaseOrPhenotypicFeature,biolink:participates_in,biolink:NamedThing
biolink:DiseaseOrPhenotypicFeature,biolink:participates_in,biolink:BiologicalEntity
biolink:DiseaseOrPhenotypicFeature,biolink:participates_in,biolink:Disease
biolink:DiseaseOrPhenotypicFeature,biolink:participates_in,biolink:DiseaseOrPhenotypicFeature
biolink:DiseaseOrPhenotypicFeature,biolink:participates_in,biolink:PhenotypicFeature
biolink:PhenotypicFeature,biolink:participates_in,biolink:NamedThing
biolink:PhenotypicFeature,biolink:participates_in,biolink:BiologicalEntity
biolink:PhenotypicFeature,biolink:participates_in,biolink:Disease
biolink:PhenotypicFeature,biolink:participates_in,biolink:DiseaseOrPhenotypicFeature
biolink:PhenotypicFeature,biolink:participates_in,biolink:PhenotypicFeature
biolink:MolecularEntity,biolink:participates_in,biolink:Disease
biolink:MolecularEntity,biolink:participates_in,biolink:DiseaseOrPhenotypicFeature
biolink:MolecularEntity,biolink:participates_in,biolink:PhenotypicFeature
biolink:Gene,biolink:participates_in,biolink:Disease
biolink:Gene,biolink:participates_in,biolink:DiseaseOrPhenotypicFeature
biolink:Gene,biolink:participates_in,biolink:PhenotypicFeature
biolink:GenomicEntity,biolink:participates_in,biolink:Disease
biolink:GenomicEntity,biolink:participates_in,biolink:DiseaseOrPhenotypicFeature
biolink:GenomicEntity,biolink:participates_in,biolink:PhenotypicFeature
biolink:Protein,biolink:participates_in,biolink:Disease
biolink:Protein,biolink:participates_in,biolink:DiseaseOrPhenotypicFeature
biolink:Protein,biolink:participates_in,biolink:PhenotypicFeature
biolink:ChemicalSubstance,biolink:participates_in,biolink:NamedThing
biolink:ChemicalSubstance,biolink:participates_in,biolink:BiologicalEntity
biolink:ChemicalSubstance,biolink:participates_in,biolink:Disease
biolink:ChemicalSubstance,biolink:participates_in,biolink:DiseaseOrPhenotypicFeature
biolink:ChemicalSubstance,biolink:participates_in,biolink:PhenotypicFeature
biolink:Drug,biolink:participates_in,biolink:NamedThing
biolink:Drug,biolink:participates_in,biolink:BiologicalEntity
biolink:Drug,biolink:participates_in,biolink:Disease
biolink:Drug,biolink:participates_in,biolink:DiseaseOrPhenotypicFeature
biolink:Drug,biolink:participates_in,biolink:PhenotypicFeature
biolink:MolecularEntity,biolink:has_phenotype,biolink:NamedThing
biolink:MolecularEntity,biolink:has_phenotype,biolink:BiologicalEntity
biolink:MolecularEntity,biolink:has_phenotype,biolink:Disease
biolink:MolecularEntity,biolink:has_phenotype,biolink:DiseaseOrPhenotypicFeature
biolink:MolecularEntity,biolink:has_phenotype,biolink:PhenotypicFeature
biolink:GenomicEntity,biolink:has_phenotype,biolink:NamedThing
biolink:GenomicEntity,biolink:has_phenotype,biolink:BiologicalEntity
biolink:GenomicEntity,biolink:has_phenotype,biolink:Disease
biolink:GenomicEntity,biolink:has_phenotype,biolink:DiseaseOrPhenotypicFeature
biolink:GenomicEntity,biolink:has_phenotype,biolink:PhenotypicFeature
biolink:OntologyClass,biolink:has_phenotype,biolink:NamedThing
biolink:OntologyClass,biolink:has_phenotype,biolink:BiologicalEntity
biolink:OntologyClass,biolink:has_phenotype,biolink:Disease
biolink:OntologyClass,biolink:has_phenotype,biolink:DiseaseOrPhenotypicFeature
biolink:OntologyClass,biolink:has_phenotype,biolink:PhenotypicFeature
biolink:AnatomicalEntity,biolink:has_phenotype,biolink:NamedThing
biolink:AnatomicalEntity,biolink:has_phenotype,biolink:BiologicalEntity
biolink:AnatomicalEntity,biolink:has_phenotype,biolink:Disease
biolink:AnatomicalEntity,biolink:has_phenotype,biolink:DiseaseOrPhenotypicFeature
biolink:AnatomicalEntity,biolink:has_phenotype,biolink:PhenotypicFeature
biolink:OrganismalEntity,biolink:has_phenotype,biolink:NamedThing
biolink:OrganismalEntity,biolink:has_phenotype,biolink:BiologicalEntity
biolink:OrganismalEntity,biolink:has_phenotype,biolink:Disease
biolink:OrganismalEntity,biolink:has_phenotype,biolink:DiseaseOrPhenotypicFeature
biolink:OrganismalEntity,biolink:has_phenotype,biolink:PhenotypicFeature
biolink:NamedThing,biolink:contraindicated_for,biolink:NamedThing
biolink:NamedThing,biolink:contraindicated_for,biolink:BiologicalEntity
biolink:NamedThing,biolink:contraindicated_for,biolink:Disease
biolink:NamedThing,biolink:contraindicated_for,biolink:DiseaseOrPhenotypicFeature
biolink:NamedThing,biolink:contraindicated_for,biolink:PhenotypicFeature
biolink:BiologicalEntity,biolink:contraindicated_for,biolink:NamedThing
biolink:BiologicalEntity,biolink:contraindicated_for,biolink:BiologicalEntity
biolink:BiologicalEntity,biolink:contraindicated_for,biolink:Disease
biolink:BiologicalEntity,biolink:contraindicated_for,biolink:DiseaseOrPhenotypicFeature
biolink:BiologicalEntity,biolink:contraindicated_for,biolink:PhenotypicFeature
biolink:ChemicalSubstance,biolink:contraindicated_for,biolink:NamedThing
biolink:ChemicalSubstance,biolink:contraindicated_for,biolink:BiologicalEntity
biolink:ChemicalSubstance,biolink:contraindicated_for,biolink:Disease
biolink:ChemicalSubstance,biolink:contraindicated_for,biolink:DiseaseOrPhenotypicFeature
biolink:ChemicalSubstance,biolink:contraindicated_for,biolink:PhenotypicFeature
biolink:Drug,biolink:contraindicated_for,biolink:NamedThing
biolink:Drug,biolink:contraindicated_for,biolink:BiologicalEntity
biolink:Drug,biolink:contraindicated_for,biolink:Disease
biolink:Drug,biolink:contraindicated_for,biolink:DiseaseOrPhenotypicFeature
biolink:Drug,biolink:contraindicated_for,biolink:PhenotypicFeature
biolink:MolecularEntity,biolink:contraindicated_for,biolink:NamedThing
biolink:MolecularEntity,biolink:contraindicated_for,biolink:BiologicalEntity
biolink:MolecularEntity,biolink:contraindicated_for,biolink:Disease
