prefix	MIM_number	preferred_title	alternative_title	symbols	neo4j_id
Number Sign	190685	DOWN SYNDROME	TRISOMY 21	DOWN SYNDROME CHROMOSOME REGION, INCLUDED; DCR, INCLUDED;; DOWN SYNDROME CRITICAL REGION, INCLUDED; DSCR, INCLUDED;; TRANSIENT MYELOPROLIFERATIVE DISORDER OF DOWN SYNDROME, INCLUDED;; LEUKEMIA, MEGAKARYOBLASTIC, OF DOWN SYNDROME, INCLUDED	70538
NULL	190800	TRISTICHIASIS	EYELASHES, THREE ROWS OF		831790
Number Sign	190900	TRITANOPIA	COLORBLINDNESS, TRITANOPIC;; BLUE COLORBLINDNESS;; COLORBLINDNESS, TRITAN; CBT		540287
NULL	191000	TROCHLEA OF THE HUMERUS, APLASIA OF			843904
Number Sign	191100	TUBEROUS SCLEROSIS 1; TSC1	TUBEROUS SCLEROSIS COMPLEX; TSC;; TUBEROSE SCLEROSIS; TS		6493
NULL	191150	TUFTSIN DEFICIENCY			843571
Percent	191181	SUPPRESSOR OF TUMORIGENICITY 3; ST3	TUMOR-SUPPRESSOR GENE, HELA CELL TYPE; TSHL;; CERVICAL CARCINOMA, TUMOR-SUPPRESSOR GENE INVOLVED IN; CCTS		843550
Percent	191200	TUNE DEAFNESS	DYSMELODIA;; AMUSIA, CONGENITAL;; TONE DEAFNESS		843362
NULL	191250	TWINNING DUE TO SUPERFETATION	SUPERFETATION TWINNING		843329
Percent	191390	INFLAMMATORY BOWEL DISEASE 11; IBD11			820712
NULL	191400	ULNA AND FIBULA, HYPOPLASIA OF	MESOMELIC DWARFISM OF HYPOPLASTIC ULNA AND FIBULA TYPE;; REINHARDT-PFEIFFER MESOMELIC DYSPLASIA		842816
NULL	191420	ULNA METAPHYSEAL DYSPLASIA SYNDROME	METAPHYSEAL CHONDRODYSPLASIA, ROSENBERG TYPE		842804
Percent	191440	ULNAR HYPOPLASIA	UPPER LIMB MESOMELIC DYSPLASIA		842786
Number Sign	191480	UNCOMBABLE HAIR SYNDROME 1; UHS1	UNCOMBABLE HAIR SYNDROME; UHS;; PILI TRIANGULI ET CANALICULI		532790
NULL	191482	UNCOMBABLE HAIR, RETINAL PIGMENTARY DYSTROPHY, DENTAL ANOMALIES, AND BRACHYDACTYLY	BORK SYNDROME		842769
Percent	191500	UNDRITZ ANOMALY	HYPERSEGMENTATION OF NUCLEI OF POLYMORPHONUCLEAR LEUKOCYTES		842496
Percent	191520	UPINGTON DISEASE	PERTHES-LIKE HIP DISEASE, ENCHONDROMATA, AND ECCHONDROMATA		842481
Percent	191530	URATE-BINDING GLOBULIN, DECREASE IN			842477
Percent	191550	URETER, BIFID OR DOUBLE			842470
NULL	191600	URETER, CANCER OF			842169
NULL	191650	URETEROCELE			842137
NULL	191700	UROLITHIASIS, URIC ACID, AUTOSOMAL DOMINANT	NEPHROLITHIASIS, URIC ACID, AUTOSOMAL DOMINANT		841875
NULL	191800	URINARY BLADDER, ATONY OF			841610
Number Sign	191830	RENAL HYPODYSPLASIA/APLASIA 1; RHDA1	RENAL ADYSPLASIA;; RENAL AGENESIS;; RENAL APLASIA;; HEREDITARY RENAL APLASIA; HRA		70594
NULL	191850	URTICARIA, AQUAGENIC			841587
Number Sign	191900	MUCKLE-WELLS SYNDROME; MWS	URTICARIA-DEAFNESS-AMYLOIDOSIS SYNDROME;; UDA SYNDROME;; CRYOPYRIN-ASSOCIATED PERIODIC SYNDROME 2; CAPS2		528952
NULL	191950	URTICARIA, FAMILIAL LOCALIZED HEAT			841304
NULL	192000	UTERINE ANOMALIES			834787
NULL	192050	UTERUS BICORNIS BICOLLIS WITH PARTIAL VAGINAL SEPTUM AND UNILATERAL HEMATOCOLPOS WITH IPSILATERAL RENAL AGENESIS			834760
NULL	192100	UVULA, BIFID	UVULA, CLEFT		834442
NULL	192200	VARICOSE VEINS			834146
NULL	192300	VASCULAR HELIX OF UMBILICAL CORD			844143
NULL	192310	VASCULITIS, LYMPHOCYTIC, NODULAR			833842
Number Sign	192315	VASCULOPATHY, RETINAL, WITH CEREBRAL LEUKODYSTROPHY; RVCL	CEREBRORETINAL VASCULOPATHY, HEREDITARY; CRV;; RETINOPATHY, VASCULAR, WITH CEREBRAL AND RENAL INVOLVEMENT AND RAYNAUD AND MIGRAINE PHENOMENA		526049
Percent	192350	VATER/VACTERL ASSOCIATION			498319
NULL	192400	VEINS, PATTERN OF, ON ANTERIOR THORAX			833596
Number Sign	192430	VELOCARDIOFACIAL SYNDROME	CHROMOSOME 22q11.2 DELETION SYNDROME;; VCF SYNDROME; VCFS;; SHPRINTZEN VCF SYNDROME		6494
NULL	192445	VENTRICULAR EXTRASYSTOLES WITH SYNCOPE, PERODACTYLY, AND ROBIN SEQUENCE			833570
Number Sign	192500	LONG QT SYNDROME 1; LQT1	WARD-ROMANO SYNDROME; WRS;; ROMANO-WARD SYNDROME; RWS;; VENTRICULAR FIBRILLATION WITH PROLONGED QT INTERVAL	LONG QT SYNDROME 1/2, DIGENIC, INCLUDED; LQT1/2, DIGENIC, INCLUDED;; LONG QT SYNDROME 1, ACQUIRED, SUSCEPTIBILITY TO, INCLUDED	7018
Number Sign	192600	CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 1; CMH1	CMH;; VENTRICULAR HYPERTROPHY, HEREDITARY;; ASYMMETRIC SEPTAL HYPERTROPHY; ASH;; HYPERTROPHIC SUBAORTIC STENOSIS, IDIOPATHIC		7738
Number Sign	192605	VENTRICULAR TACHYCARDIA, FAMILIAL	VENTRICULAR TACHYCARDIA, FAMILIAL POLYMORPHIC		526864
NULL	192700	VENULAR INSUFFICIENCY, SYSTEMIC			832726
NULL	192800	VERTEBRAL FUSION, POSTERIOR LUMBOSACRAL, WITH BLEPHAROPTOSIS			636903
Percent	192900	VERTEBRAL HYPOPLASIA WITH LUMBAR KYPHOSIS			832226
Number Sign	192950	VERTICAL TALUS, CONGENITAL; CVT	ROCKER-BOTTOM FOOT;; PES VALGUS, CONGENITAL CONVEX		500812
Percent	193000	VESICOURETERAL REFLUX 1; VUR1	VUR		820336
Percent	193003	NYSTAGMUS 4, CONGENITAL, AUTOSOMAL DOMINANT; NYS4	VESTIBULOCEREBELLAR DISORDER WITH PREDOMINANT OCULAR SIGNS		820335
NULL	193005	VESTIBULOCOCHLEAR DYSFUNCTION, PROGRESSIVE			826541
Percent	193007	VERTIGO, BENIGN RECURRENT; BRV	VERTIGO, BENIGN PAROXYSMAL POSITIONAL; BPPV;; VESTIBULOPATHY, FAMILIAL	VERTIGO, BENIGN RECURRENT, 1, INCLUDED; BRV1, INCLUDED	826540
NULL	193070	VIRUS RD114 RNA COMPLEMENTARITY			826511
Percent	193090	TRANSCOBALAMIN I DEFICIENCY	TCN1 DEFICIENCY;; COBALAMIN PSEUDODEFICIENCY DUE TO TRANSCOBALAMIN DEFICIENCY;; COBALAMIN R BINDER PROTEIN DEFICIENCY	TRANSCOBALAMIN I DEFICIENCY WITH LACTOFERRIN DEFICIENCY, INCLUDED;; R BINDER DEFICIENCY WITH LACTOFERRIN DEFICIENCY, INCLUDED	826495
Number Sign	193100	HYPOPHOSPHATEMIC RICKETS, AUTOSOMAL DOMINANT; ADHR	VITAMIN D-RESISTANT RICKETS, AUTOSOMAL DOMINANT;; HYPOPHOSPHATEMIA, AUTOSOMAL DOMINANT		531322
Percent	193200	VITILIGO-ASSOCIATED MULTIPLE AUTOIMMUNE DISEASE SUSCEPTIBILITY 6; VAMAS6			70445
Number Sign	193220	VITREORETINOCHOROIDOPATHY; VRCP	VITREORETINOCHOROIDOPATHY, AUTOSOMAL DOMINANT; ADVIRC;; VITREORETINOCHOROIDOPATHY WITH MICROCORNEA, GLAUCOMA, AND CATARACT;; VITREORETINOCHOROIDOPATHY, AUTOSOMAL DOMINANT, WITH NANOPHTHALMOS	MICROCORNEA, ROD-CONE DYSTROPHY, CATARACT, AND POSTERIOR STAPHYLOMA, INCLUDED; MRCS, INCLUDED	505068
Number Sign	193230	VITREORETINAL DEGENERATION, SNOWFLAKE TYPE; SVD	SNOWFLAKE VITREORETINAL DEGENERATION		518673
Number Sign	193235	VITREORETINOPATHY, NEOVASCULAR INFLAMMATORY; VRNI	PROLIFERATIVE VITREORETINOPATHY; PVR;; VITREORETINOPATHY, NEOVASCULAR INFLAMMATORY, AUTOSOMAL DOMINANT; ADNIV		527152
NULL	193240	VOCAL CORD PARALYSIS AND PTOSIS			825824
Percent	193250	VOLVULUS OF MIDGUT	INTESTINAL MALROTATION, FAMILIAL		825815
Number Sign	193300	VON HIPPEL-LINDAU SYNDROME; VHL		VON HIPPEL-LINDAU SYNDROME, MODIFIERS OF, INCLUDED	6265
Number Sign	193400	VON WILLEBRAND DISEASE, TYPE 1; VWD1	VON WILLEBRAND DISEASE, TYPE I;; VWD, TYPE 1		7027
NULL	193450	VULVOVAGINITIS, ALLERGIC SEMINAL			825051
Number Sign	193500	WAARDENBURG SYNDROME, TYPE 1; WS1	WAARDENBURG SYNDROME WITH DYSTOPIA CANTHORUM		7609
Number Sign	193510	WAARDENBURG SYNDROME, TYPE 2A; WS2A	WAARDENBURG SYNDROME, TYPE IIA;; WAARDENBURG SYNDROME WITHOUT DYSTOPIA CANTHORUM;; WS2		506990
Number Sign	193520	WATSON SYNDROME; WTSN	PULMONIC STENOSIS WITH CAFE-AU-LAIT SPOTS;; CAFE-AU-LAIT SPOTS WITH PULMONIC STENOSIS		523649
Number Sign	193530	WEYERS ACROFACIAL DYSOSTOSIS; WAD	ACRODENTAL DYSOSTOSIS OF WEYERS;; CURRY-HALL SYNDROME		504150
Number Sign	193670	WHIM SYNDROME; WHIMS	WARTS, HYPOGAMMAGLOBULINEMIA, INFECTIONS, AND MYELOKATHEXIS SYNDROME		538608
Number Sign	193700	ARTHROGRYPOSIS, DISTAL, TYPE 2A; DA2A	FREEMAN-SHELDON SYNDROME; FSS;; WHISTLING FACE-WINDMILL VANE HAND SYNDROME;; CRANIOCARPOTARSAL DYSTROPHY;; CRANIOCARPOTARSAL DYSPLASIA		509307
Number Sign	193900	WHITE SPONGE NEVUS 1; WSN1	WHITE SPONGE NEVUS OF CANNON;; LEUKOKERATOSIS, HEREDITARY MUCOSAL		530737
NULL	194000	WIDOW'S PEAK			830420
Number Sign	194050	WILLIAMS-BEUREN SYNDROME; WBS	CHROMOSOME 7q11.23 DELETION SYNDROME, 1.5- TO 1.8-MB;; WILLIAMS SYNDROME; WMS; WS		8461
Number Sign	194070	WILMS TUMOR 1; WT1	NEPHROBLASTOMA		8440
Number Sign	194071	WILMS TUMOR 2; WT2			8434
Number Sign	194072	WILMS TUMOR, ANIRIDIA, GENITOURINARY ANOMALIES, AND MENTAL RETARDATION SYNDROME; WAGR	WAGR SYNDROME;; CHROMOSOME 11p13 DELETION SYNDROME		8435
Number Sign	194080	DENYS-DRASH SYNDROME; DDS	DRASH SYNDROME;; WILMS TUMOR AND PSEUDO- OR TRUE HERMAPHRODITISM;; NEPHROPATHY, WILMS TUMOR, AND GENITAL ANOMALIES		70422
Percent	194090	WILMS TUMOR 3; WT3			8271
Number Sign	194190	WOLF-HIRSCHHORN SYNDROME; WHS	CHROMOSOME 4p16.3 DELETION SYNDROME;; PITT-ROGERS-DANKS SYNDROME; PRDS;; PITT SYNDROME;; WITTWER SYNDROME		6716
Number Sign	194200	WOLFF-PARKINSON-WHITE SYNDROME	WPW SYNDROME	PREEXCITATION SYNDROME, INCLUDED;; ACCESSORY ATRIOVENTRICULAR PATHWAYS, INCLUDED	70526
Number Sign	194300	WOOLLY HAIR, AUTOSOMAL DOMINANT; ADWH			540492
NULL	194320	WORONETS TRAIT			846752
Percent	194350	WT LIMB-BLOOD SYNDROME			846732
Number Sign	194380	DEHYDRATED HEREDITARY STOMATOCYTOSIS 1 WITH OR WITHOUT PSEUDOHYPERKALEMIA AND/OR PERINATAL EDEMA; DHS1	DEHYDRATED HEREDITARY STOMATOCYTOSIS; DHS;; XEROCYTOSIS, HEREDITARY;; DESICCYTOSIS, HEREDITARY;; PSEUDOHYPERKALEMIA, FAMILIAL, 1, DUE TO RED CELL LEAK; PSHK1;; PSEUDOHYPERKALEMIA EDINBURGH		535890
NULL	194400	XERODERMA PIGMENTOSUM, AUTOSOMAL DOMINANT, MILD			846450
Percent	194470	ZINC, ELEVATED PLASMA	ALBUMIN BINDING OF ZINC, ELEVATED;; HYPERZINCEMIA, FAMILIAL DYSALBUMINEMIC	HYPERZINCEMIA AND HYPERCALPROTECTINEMIA, INCLUDED	846411
Number Sign	200100	ABETALIPOPROTEINEMIA; ABL	ACANTHOCYTOSIS;; BASSEN-KORNZWEIG SYNDROME;; MICROSOMAL TRIGLYCERIDE TRANSFER PROTEIN DEFICIENCY;; MTP DEFICIENCY		70509
Number Sign	200110	ABLEPHARON-MACROSTOMIA SYNDROME; AMS			512255
NULL	200130	ABSENT EYEBROWS AND EYELASHES WITH MENTAL RETARDATION	PSEUDOPROGERIA SYNDROME		837017
Number Sign	200150	CHOREOACANTHOCYTOSIS; CHAC	LEVINE-CRITCHLEY SYNDROME;; ACANTHOCYTOSIS WITH NEUROLOGIC DISORDER;; NEUROACANTHOCYTOSIS;; CHOREA-ACANTHOCYTOSIS		6303
NULL	200170	ACANTHOSIS NIGRICANS WITH MUSCLE CRAMPS AND ACRAL ENLARGEMENT			836977
NULL	200300	ACETOPHENETIDIN SENSITIVITY			841797
Percent	200400	ACHALASIA, FAMILIAL ESOPHAGEAL			836381
NULL	200450	ACHALASIA-MICROCEPHALY SYNDROME			836353
Number Sign	200500	ACHEIROPODY; ACHP	ACHEIROPODIA;; ACHEIROPODY, BRAZILIAN TYPE		512049
Number Sign	200600	ACHONDROGENESIS, TYPE IA; ACG1A	ACHONDROGENESIS, HOUSTON-HARRIS TYPE		70507
Number Sign	200610	ACHONDROGENESIS, TYPE II; ACG2	ACHONDROGENESIS, LANGER-SALDINO TYPE;; CHONDROGENESIS IMPERFECTA;; ACHONDROGENESIS, TYPE IB, FORMERLY	HYPOCHONDROGENESIS, INCLUDED	70500
Number Sign	200700	CHONDRODYSPLASIA, GREBE TYPE	ACHONDROGENESIS, BRAZILIAN;; GREBE CHONDRODYSPLASIA;; GREBE DYSPLASIA;; ACROMESOMELIC DYSPLASIA, GREBE TYPE; AMDG;; ACHONDROGENESIS, TYPE II, FORMERLY		70615
NULL	200900	SHORT-LIMB SKELETAL DYSPLASIA WITH SEVERE COMBINED IMMUNODEFICIENCY	SLSD WITH SCID;; ACHONDROPLASIA, SO-CALLED, AND SEVERE COMBINED IMMUNODEFICIENCY		843511
NULL	200950	ACID PHOSPHATASE DEFICIENCY			526427
NULL	200970	ACKERMAN SYNDROME	MOLAR ROOTS, PYRAMIDAL, WITH JUVENILE GLAUCOMA AND UNUSUAL UPPER LIP;; GLAUCOMA, JUVENILE, WITH UNUSUAL UPPER LIP AND DENTAL ROOTS		834795
NULL	200980	ACRORENAL-MANDIBULAR SYNDROME	ACRORENAL-UTERINE-MANDIBULAR SYNDROME; ARUMS;; SPLIT-HAND AND SPLIT-FOOT WITH MANDIBULAR HYPOPLASIA		834786
Number Sign	200990	ACROCALLOSAL SYNDROME; ACLS	HALLUX DUPLICATION, POSTAXIAL POLYDACTYLY, AND ABSENCE OF CORPUS CALLOSUM;; SCHINZEL ACROCALLOSAL SYNDROME	JOUBERT SYNDROME 12, INCLUDED; JBTS12, INCLUDED;; JOUBERT SYNDROME 12/15, DIGENIC, INCLUDED	7087
NULL	200995	ACROCEPHALOPOLYDACTYLOUS DYSPLASIA	ELEJALDE SYNDROME		834778
Number Sign	201000	CARPENTER SYNDROME 1; CRPT1	CARPENTER SYNDROME;; ACROCEPHALOPOLYSYNDACTYLY TYPE II;; ACPS II		516926
NULL	201020	ACROCEPHALOPOLYSYNDACTYLY TYPE IV	ACPS IV;; GOODMAN SYNDROME		828655
NULL	201050	ACROCRANIOFACIAL DYSOSTOSIS			828628
Number Sign	201100	ACRODERMATITIS ENTEROPATHICA, ZINC-DEFICIENCY TYPE; AEZ			70597
Percent	201170	ACROFACIAL DYSOSTOSIS SYNDROME OF RODRIGUEZ	RODRIGUEZ LETHAL ACROFACIAL DYSOSTOSIS SYNDROME		828350
NULL	201180	ACROFRONTOFACIONASAL DYSOSTOSIS 1	AFFN DYSOSTOSIS 1; AFFND1;; POLYSYNDACTYLY, POSTAXIAL, FRONTONASAL DYSOSTOSIS, AND CLEFT LIP/PALATE;; CLEFT LIP/PALATE WITH FRONTONASAL DYSOSTOSIS AND POSTAXIAL POLYSYNDACTYLY		637175
NULL	201200	ACROGERIA, GOTTRON TYPE	METAGERIA;; ACROMETAGERIA		828152
Number Sign	201250	ACROMESOMELIC DYSPLASIA, HUNTER-THOMPSON TYPE; AMDH	ACROMESOMELIC DWARFISM		539269
Number Sign	201300	NEUROPATHY, HEREDITARY SENSORY AND AUTONOMIC, TYPE IIA; HSAN2A	HSAN IIA;; NEUROPATHY, HEREDITARY SENSORY, TYPE IIA; HSN2A;; HSN IIA;; ACROOSTEOLYSIS, NEUROGENIC;; ACROOSTEOLYSIS, GIACCAI TYPE;; NEUROPATHY, HEREDITARY SENSORY RADICULAR, AUTOSOMAL RECESSIVE;; MORVAN DISEASE;; NEUROPATHY, PROGRESSIVE SENSORY, OF CHILDREN;; NEUROPATHY, CONGENITAL SENSORY		7875
NULL	201310	ACRORENAL SYNDROME, AUTOSOMAL RECESSIVE			828275
Number Sign	201400	ACTH DEFICIENCY, ISOLATED; IAD	ADRENOCORTICOTROPIC HORMONE DEFICIENCY		534440
Number Sign	201450	ACYL-CoA DEHYDROGENASE, MEDIUM-CHAIN, DEFICIENCY OF; ACADMD	ACADM DEFICIENCY;; MCAD DEFICIENCY;; MCADH DEFICIENCY;; CARNITINE DEFICIENCY SECONDARY TO MEDIUM-CHAIN ACYL-CoA DEHYDROGENASE DEFICIENCY		7212
Number Sign	201470	ACYL-CoA DEHYDROGENASE, SHORT-CHAIN, DEFICIENCY OF; ACADSD	ACADS DEFICIENCY;; LIPID-STORAGE MYOPATHY SECONDARY TO SHORT-CHAIN ACYL-CoA DEHYDROGENASE DEFICIENCY;; SCADH DEFICIENCY;; SCAD DEFICIENCY		7246
Number Sign	201475	ACYL-CoA DEHYDROGENASE, VERY LONG-CHAIN, DEFICIENCY OF; ACADVLD	VLCAD DEFICIENCY		7248
Percent	201550	ADDUCTED THUMBS SYNDROME			827548
Number Sign	201710	LIPOID CONGENITAL ADRENAL HYPERPLASIA; LCAH	ADRENAL HYPERPLASIA I;; LIPOID HYPERPLASIA, CONGENITAL, OF ADRENAL CORTEX WITH MALE PSEUDOHERMAPHRODITISM		525554
Number Sign	201750	ANTLEY-BIXLER SYNDROME WITH GENITAL ANOMALIES AND DISORDERED STEROIDOGENESIS; ABS1			7684
Number Sign	201810	ADRENAL HYPERPLASIA, CONGENITAL, DUE TO 3-BETA-HYDROXYSTEROID DEHYDROGENASE 2 DEFICIENCY	ADRENAL HYPERPLASIA II;; 3-BETA-HSD DEFICIENCY; HSDB		70539
Number Sign	201910	ADRENAL HYPERPLASIA, CONGENITAL, DUE TO 21-HYDROXYLASE DEFICIENCY	ADRENAL HYPERPLASIA III;; 21-HYDROXYLASE DEFICIENCY;; CYP21 DEFICIENCY;; CONGENITAL ADRENAL HYPERPLASIA 1; CAH1	HYPERANDROGENISM, NONCLASSIC TYPE, DUE TO 21-HYDROXYLASE DEFICIENCY, INCLUDED	6598
Number Sign	202010	ADRENAL HYPERPLASIA, CONGENITAL, DUE TO STEROID 11-BETA-HYDROXYLASE DEFICIENCY	ADRENAL HYPERPLASIA IV;; STEROID 11-BETA-HYDROXYLASE DEFICIENCY;; 11-BETA-HYDROXYLASE DEFICIENCY;; ADRENAL HYPERPLASIA, HYPERTENSIVE FORM;; P450C11B1 DEFICIENCY		535906
Number Sign	202110	ADRENAL HYPERPLASIA, CONGENITAL, DUE TO 17-ALPHA-HYDROXYLASE DEFICIENCY	ADRENAL HYPERPLASIA V;; 17-ALPHA-HYDROXYLASE DEFICIENCY	17,20-LYASE DEFICIENCY, ISOLATED, INCLUDED;; 17-ALPHA-HYDROXYLASE/17,20-LYASE DEFICIENCY, COMBINED COMPLETE, INCLUDED;; 17-ALPHA-HYDROXYLASE/17,20-LYASE DEFICIENCY, COMBINED PARTIAL, INCLUDED	527295
NULL	202150	ADRENAL HYPOPLASIA, CONGENITAL, WITH ABSENT PITUITARY LUTEINIZING HORMONE			850303
NULL	202155	ADRENAL HYPOPLASIA, CYTOMEGALIC TYPE			850300
Number Sign	202200	GLUCOCORTICOID DEFICIENCY 1; GCCD1	FAMILIAL GLUCOCORTICOID DEFICIENCY 1; FGD1;; ADRENAL UNRESPONSIVENESS TO ACTH;; ACTH RESISTANCE		501708
Number Sign	202300	ADRENOCORTICAL CARCINOMA, HEREDITARY; ADCC		ADRENOCORTICAL CARCINOMA, PEDIATRIC, INCLUDED	500704
NULL	202355	ADRENOCORTICAL UNRESPONSIVENESS TO ACTH WITH POSTRECEPTOR DEFECT	FAMILIAL GLUCOCORTICOID DEFICIENCY DUE TO DEFECT DISTAL TO ACTH RECEPTOR		849853
Number Sign	202370	PEROXISOME BIOGENESIS DISORDER 2B; PBD2B			6219
Number Sign	202400	AFIBRINOGENEMIA, CONGENITAL		HYPOFIBRINOGENEMIA, CONGENITAL, INCLUDED	508665
NULL	202550	AGANGLIONOSIS, TOTAL INTESTINAL			849267
NULL	202600	AGENESIS OF CEREBRAL WHITE MATTER			829618
Number Sign	202650	AGNATHIA-OTOCEPHALY COMPLEX; AGOTC	DYSGNATHIA COMPLEX AGNATHIA-HOLOPROSENCEPHALY;; HOLOPROSENCEPHALY-AGNATHIA;; OTOCEPHALY		520903
NULL	202660	PAGOD SYNDROME	AGONADISM WITH MULTIPLE INTERNAL MALFORMATIONS		848958
Number Sign	202700	NEUTROPENIA, SEVERE CONGENITAL, 1, AUTOSOMAL DOMINANT; SCN1			7107
NULL	202900	ALANINURIA WITH MICROCEPHALY, DWARFISM, ENAMEL HYPOPLASIA, AND DIABETES MELLITUS	STIMMLER SYNDROME		848029
NULL	203000	FRONTONASAL DYSPLASIA WITH ALAR CLEFTS	ALAR-NASAL CARTILAGES, COLOBOMA OF, WITH TELECANTHUS		841722
Number Sign	203100	ALBINISM, OCULOCUTANEOUS, TYPE IA; OCA1A	OCULOCUTANEOUS ALBINISM, TYPE I; OCA1;; ALBINISM I;; OCULOCUTANEOUS ALBINISM, TYROSINASE-NEGATIVE; ATN		6743
Number Sign	203200	ALBINISM, OCULOCUTANEOUS, TYPE II; OCA2	OCULOCUTANEOUS ALBINISM, TYPE II;; OCULOCUTANEOUS ALBINISM, TYROSINASE-POSITIVE;; ALBINISM II	ALBINISM, BROWN OCULOCUTANEOUS, INCLUDED; BOCA, INCLUDED;; BROWN OCULOCUTANEOUS ALBINISM, INCLUDED	6359
Number Sign	203290	ALBINISM, OCULOCUTANEOUS, TYPE III; OCA3	OCULOCUTANEOUS ALBINISM, TYPE III;; ALBINISM III;; RUFOUS OCULOCUTANEOUS ALBINISM; ROCA;; XANTHISM		523509
Number Sign	203300	HERMANSKY-PUDLAK SYNDROME 1; HPS1	ALBINISM WITH HEMORRHAGIC DIATHESIS AND PIGMENTED RETICULOENDOTHELIAL CELLS;; DELTA STORAGE POOL DISEASE		8010
Percent	203330	PSEUDOHYPOPARATHYROIDISM, TYPE II; PHP2	PHP II		637560
NULL	203340	ALBINISM-MICROCEPHALY-DIGITAL ANOMALIES SYNDROME	MICROCEPHALY-ALBINISM-DIGITAL ANOMALIES SYNDROME		840929
Number Sign	203400	CORTICOSTERONE METHYLOXIDASE TYPE I DEFICIENCY	CMO I DEFICIENCY;; ALDOSTERONE DEFICIENCY I;; HYPERRENINEMIC HYPOALDOSTERONISM, FAMILIAL, 1; FHHA1A;; ALDOSTERONE DEFICIENCY DUE TO DEFECT IN STEROID 18-HYDROXYLASE;; 18-HYDROXYLASE DEFICIENCY;; STEROID 18-HYDROXYLASE DEFICIENCY		520490
Number Sign	203450	ALEXANDER DISEASE; ALXDRD			7488
Number Sign	203500	ALKAPTONURIA; AKU	HOMOGENTISIC ACID OXIDASE DEFICIENCY		7778
NULL	203550	ALOPECIA-CONTRACTURES-DWARFISM MENTAL RETARDATION SYNDROME	ACD MENTAL RETARDATION SYNDROME		838112
NULL	203600	ALOPECIA-EPILEPSY-OLIGOPHRENIA SYNDROME OF MOYNAHAN	MOYNAHAN ALOPECIA SYNDROME		600674
Percent	203650	ALOPECIA-MENTAL RETARDATION SYNDROME 1; APMR1	AMR SYNDROME		637957
Number Sign	203655	ALOPECIA UNIVERSALIS CONGENITA; ALUNC	ATRICHIA, GENERALIZED		539317
Number Sign	203700	MITOCHONDRIAL DNA DEPLETION SYNDROME 4A (ALPERS TYPE); MTDPS4A	ALPERS DIFFUSE DEGENERATION OF CEREBRAL GRAY MATTER WITH HEPATIC CIRRHOSIS;; ALPERS PROGRESSIVE INFANTILE POLIODYSTROPHY;; ALPERS SYNDROME;; ALPERS-HUTTENLOCHER SYNDROME;; NEURONAL DEGENERATION OF CHILDHOOD WITH LIVER DISEASE, PROGRESSIVE; PNDC		6714
Percent	203740	ALPHA-KETOGLUTARATE DEHYDROGENASE DEFICIENCY	ALPHA-KGD DEFICIENCY;; 2-KETOGLUTARATE DEHYDROGENASE DEFICIENCY;; OXOGLUTARIC ACIDURIA		523092
Number Sign	203750	ALPHA-METHYLACETOACETIC ACIDURIA	2-METHYL-3-HYDROXYBUTYRIC ACIDEMIA;; BETA-KETOTHIOLASE DEFICIENCY;; MITOCHONDRIAL ACETOACETYL-CoA THIOLASE DEFICIENCY;; MAT DEFICIENCY;; T2 DEFICIENCY;; 3-OXOTHIOLASE DEFICIENCY;; 3-KETOTHIOLASE DEFICIENCY;; 3-KTD DEFICIENCY		524433
NULL	203760	ALPHA-2-DEFICIENT COLLAGEN DISEASE	MEIGEL DISEASE		839715
Number Sign	203780	ALPORT SYNDROME, AUTOSOMAL RECESSIVE			8003
Number Sign	203800	ALSTROM SYNDROME; ALMS	ALSS		8269
Number Sign	204000	LEBER CONGENITAL AMAUROSIS 1; LCA1	AMAUROSIS CONGENITA OF LEBER I;; LCA;; RETINAL BLINDNESS, CONGENITAL; CRB		7044
Number Sign	204100	LEBER CONGENITAL AMAUROSIS 2; LCA2	AMAUROSIS CONGENITA OF LEBER II		6282
NULL	204110	AMAUROSIS CONGENITA, CONE-ROD TYPE, WITH CONGENITAL HYPERTRICHOSIS			845824
Number Sign	204200	CEROID LIPOFUSCINOSIS, NEURONAL, 3; CLN3	NEURONAL CEROID LIPOFUSCINOSIS, JUVENILE; JNCL;; BATTEN DISEASE;; VOGT-SPIELMEYER DISEASE;; SPIELMEYER-SJOGREN DISEASE		7926
Number Sign	204300	CEROID LIPOFUSCINOSIS, NEURONAL, 4A, AUTOSOMAL RECESSIVE; CLN4A			7486
Number Sign	204500	CEROID LIPOFUSCINOSIS, NEURONAL, 2; CLN2	CEROID LIPOFUSCINOSIS, NEURONAL, 2, VARIABLE AGE AT ONSET;; JANSKY-BIELSCHOWSKY DISEASE	NEURONAL CEROID LIPOFUSCINOSIS, LATE INFANTILE, INCLUDED; LINCL, INCLUDED	7250
Number Sign	204650	AMELOGENESIS IMPERFECTA, TYPE IC; AI1C	AMELOGENESIS IMPERFECTA, LOCAL HYPOPLASTIC TYPE, AUTOSOMAL RECESSIVE;; AMELOGENESIS IMPERFECTA, HYPOPLASTIC, WITH OR WITHOUT OPENBITE MALOCCLUSION, AUTOSOMAL RECESSIVE		538380
