prefix	MIM_number	preferred_title	alternative_title	symbols
Percent	185200	STRIAE DISTENSAE, FAMILIAL		
Number Sign	185300	STURGE-WEBER SYNDROME; SWS		
NULL	185460	SULFHEMOGLOBINEMIA, CONGENITAL		
NULL	185480	SUPRABULBAR PARESIS, CONGENITAL	WORSTER-DROUGHT SYNDROME	
Number Sign	185500	SUPRAVALVULAR AORTIC STENOSIS; SVAS	SUPRAVALVAR AORTIC STENOSIS, EISENBERG TYPE	
NULL	185540	SURFACE ANTIGEN, GLYCOPROTEIN 75	SURFACE GLYCOPROTEIN 75; SGP75	
NULL	185600	SYMPHALANGISM OF TOES		
NULL	185610	SURFACE POLYPEPTIDES, ANONYMOUS	SPA2;; SPA5	
NULL	185650	SYMPHALANGISM, C. S. LEWIS TYPE	THUMBS, STIFF	
Percent	185700	SYMPHALANGISM, DISTAL	SYM2	
NULL	185750	SYMPHALANGISM WITH MULTIPLE ANOMALIES OF HANDS AND FEET		
Number Sign	185800	SYMPHALANGISM, PROXIMAL, 1A; SYM1A	SYM1;; CUSHING SYMPHALANGISM;; HEREDITARY ABSENCE OF THE PROXIMAL INTERPHALANGEAL JOINTS	
Number Sign	185900	CHROMOSOME 2q35 DUPLICATION SYNDROME	SYNDACTYLY, TYPE I; SDTY1;; SD1;; ZYGODACTYLY	CRANIOSYNOSTOSIS, PHILADELPHIA TYPE, INCLUDED
Number Sign	186000	SYNPOLYDACTYLY 1; SPD1	SYNDACTYLY, TYPE II; SDTY2	
Number Sign	186100	SYNDACTYLY, TYPE III	SDTY3;; RING AND LITTLE FINGER SYNDACTYLY;; SYNDACTYLY OF FINGERS IV AND V	
Number Sign	186200	SYNDACTYLY, TYPE IV; SDTY4	HAAS TYPE SYNDACTYLY;; POLYSYNDACTYLY, HAAS TYPE;; SD4	
Number Sign	186300	SYNDACTYLY, TYPE V; SDTY5	SYNDACTYLY WITH METACARPAL AND METATARSAL FUSION	
Percent	186350	SYNDACTYLY-POLYDACTYLY-EARLOBE SYNDROME	SPEL SYNDROME	
Percent	186400	SYNOSTOSES, TARSAL, CARPAL, AND DIGITAL	CALCANEONAVICULAR COALITION	
Number Sign	186500	MULTIPLE SYNOSTOSES SYNDROME 1; SYNS1	SYNOSTOSES, MULTIPLE, WITH BRACHYDACTYLY;; SYMPHALANGISM-BRACHYDACTYLY SYNDROME;; WL SYNDROME;; DEAFNESS-SYMPHALANGISM SYNDROME OF HERRMANN;; FACIOAUDIOSYMPHALANGISM SYNDROME	
Number Sign	186550	LIEBENBERG SYNDROME; LBNBG	SYNOSTOSIS, CARPAL, WITH DYSPLASTIC ELBOW JOINTS AND BRACHYDACTYLY;; BRACHYDACTYLY WITH JOINT DYSPLASIA	
Number Sign	186570	TARSAL-CARPAL COALITION SYNDROME; TCC		SYNOSTOSIS OF TALUS AND CALCANEUS WITH SHORT STATURE, INCLUDED
NULL	186575	SYNOVIAL CHONDROMATOSIS, FAMILIAL, WITH DWARFISM		
Number Sign	186580	BLAU SYNDROME; BLAUS	SARCOIDOSIS, EARLY-ONSET; EOS;; GRANULOMATOSIS, FAMILIAL JUVENILE SYSTEMIC;; ARTHROCUTANEOUVEAL GRANULOMATOSIS; ACUG;; JABS SYNDROME;; GRANULOMATOUS INFLAMMATORY ARTHRITIS, DERMATITIS, AND UVEITIS, FAMILIAL;; GRANULOMATOSIS, FAMILIAL, BLAU TYPE	
NULL	186600	SYRINGOMAS, MULTIPLE		
Percent	186700	SYRINGOMYELIA, NONCOMMUNICATING ISOLATED		
NULL	186750	TALONAVICULAR COALITION		
Percent	186850	TARSAL COALITION	TARSAL FUSION	
Percent	186890	TEAR PROTEIN, ANODAL		
NULL	186950	T-CELL SUBGROUPS, NON-HLA-LINKED		
Percent	187000	TEETH, ODD SHAPES OF		LOBODONTIA, INCLUDED;; CONICAL TEETH, MULTIPLE, INCLUDED
NULL	187030	T-COMPLEX LOCUS TCP10B; TCP10B		
NULL	187050	TEETH PRESENT AT BIRTH	NATAL TEETH	
NULL	187100	TEETH, SUPERNUMERARY		
Percent	187260	TELANGIECTASIA, HEREDITARY BENIGN	HBT;; TELANGIECTASIA, GENERALIZED ESSENTIAL	
NULL	187290	TEMPERATURE SENSITIVITY COMPLEMENTATION, CELL CYCLE SPECIFIC, H142; H142T		
Number Sign	187300	TELANGIECTASIA, HEREDITARY HEMORRHAGIC, OF RENDU, OSLER, AND WEBER; HHT	OSLER-RENDU-WEBER DISEASE;; ORW DISEASE	TELANGIECTASIA, HEREDITARY HEMORRHAGIC, TYPE 1, INCLUDED; HHT1, INCLUDED
NULL	187310	TEMPERATURE SENSITIVITY COMPLEMENTATION, CELL CYCLE SPECIFIC, K12	ts COMPLEMENTING, K12; K12T	
NULL	187320	TEMPERATURE SENSITIVITY COMPLEMENTATION, CELL CYCLE SPECIFIC, ts13; TS13		
NULL	187330	TEMPERATURE SENSITIVITY COMPLEMENTATION, CELL CYCLE SPECIFIC, ts546; TS546		
NULL	187340	TEMPERATURE-SENSITIVE LETHAL MUTATION		
NULL	187350	TELECANTHUS		
NULL	187360	TEMPORAL ARTERITIS	GIANT CELL ARTERITIS; GCA;; CRANIAL ARTERITIS;; POLYMYALGIA RHEUMATICA	
Percent	187370	ARTHROGRYPOSIS, DISTAL, TYPE 10; DA10	CONGENITAL PLANTAR CONTRACTURES;; TENDO CALCANEUS, SHORT	
NULL	187390	TENDONS, EXTENSOR, OF FINGERS, ANOMALOUS INSERTION OF		
NULL	187400	TESTICULAR TORSION	TORSION OF TESTICULAR CORD	
Number Sign	187500	TETRALOGY OF FALLOT; TOF		
NULL	187501	TETRALOGY OF FALLOT AND GLAUCOMA		
NULL	187510	TETRAMELIC MONODACTYLY		
NULL	187550	THALASSEMIA, BETA+, SILENT ALLELE		
Number Sign	187600	THANATOPHORIC DYSPLASIA, TYPE I; TD1	THANATOPHORIC DYSPLASIA; TD;; THANATOPHORIC DWARFISM;; PLATYSPONDYLIC LETHAL SKELETAL DYSPLASIA, SAN DIEGO TYPE;; LETHAL SHORT-LIMBED PLATYSPONDYLIC DWARFISM, SAN DIEGO TYPE	
Number Sign	187601	THANATOPHORIC DYSPLASIA, TYPE II; TD2	THANATOPHORIC DYSPLASIA WITH STRAIGHT FEMURS AND CLOVERLEAF SKULL;; THANATOPHORIC DYSPLASIA WITH KLEEBLATTSCHAEDEL;; CLOVERLEAF SKULL WITH THANATOPHORIC DWARFISM	
Percent	187650	THEOPHYLLINE BIOTRANSFORMATION		
NULL	187750	THORACIC DYSOSTOSIS, ISOLATED		
NULL	187760	THORACOLARYNGOPELVIC DYSPLASIA; TLPD	BARNES SYNDROME	
NULL	187770	THORACOPELVIC DYSOSTOSIS		
Number Sign	187800	BLEEDING DISORDER, PLATELET-TYPE, 16; BDPLT16	GLANZMANN THROMBASTHENIA, AUTOSOMAL DOMINANT;; THROMBASTHENIA OF GLANZMANN AND NAEGELI, AUTOSOMAL DOMINANT	
Number Sign	187900	BLEEDING DISORDER, PLATELET-TYPE, 17; BDPLT17	THROMBASTHENIA-THROMBOCYTOPENIA, HEREDITARY	
NULL	187940	THROMBOCYTE B; THB		
Number Sign	187950	THROMBOCYTHEMIA 1; THCYT1	THROMBOCYTOSIS 1	
Number Sign	188000	THROMBOCYTOPENIA 2; THC2	THROMBOCYTOPENIA, AUTOSOMAL DOMINANT, 2	
NULL	188020	THROMBOCYTOPENIA, CYCLIC		
Number Sign	188025	THROMBOCYTOPENIA, PARIS-TROUSSEAU TYPE; TCPT	CHROMOSOME 11q23 DELETION SYNDROME	
NULL	188030	THROMBOCYTOPENIC PURPURA, AUTOIMMUNE; AITP	IMMUNE THROMBOCYTOPENIC PURPURA; ITP;; IDIOPATHIC THROMBOCYTOPENIC PURPURA	
Number Sign	188050	THROMBOPHILIA DUE TO THROMBIN DEFECT; THPH1	THROMBOPHILIA DUE TO FACTOR 2 DEFECT;; VENOUS THROMBOSIS;; VENOUS THROMBOEMBOLISM	THROMBOSIS, PROTECTION AGAINST, INCLUDED
Number Sign	188055	THROMBOPHILIA DUE TO ACTIVATED PROTEIN C RESISTANCE; THPH2	ACTIVATED PROTEIN C RESISTANCE;; APC RESISTANCE;; THROMBOPHILIA DUE TO DEFICIENCY OF ACTIVATED PROTEIN C COFACTOR;; PROC COFACTOR DEFICIENCY;; PCCF DEFICIENCY;; THROMBOPHILIA V	THROMBOPHILIA DUE TO FACTOR V LEIDEN, INCLUDED
NULL	188100	THUMB DEFORMITY		
NULL	188150	THUMB DEFORMITY AND ALOPECIA		
NULL	188201	THUMBS, STIFF, WITH BRACHYDACTYLY TYPE A1 AND DEVELOPMENTAL DELAY		
Number Sign	188400	DIGEORGE SYNDROME; DGS	CHROMOSOME 22q11.2 DELETION SYNDROME;; HYPOPLASIA OF THYMUS AND PARATHYROIDS;; THIRD AND FOURTH PHARYNGEAL POUCH SYNDROME	DIGEORGE SYNDROME CHROMOSOME REGION, INCLUDED; DGCR, INCLUDED;; TAKAO VCF SYNDROME, INCLUDED;; CATCH22, INCLUDED
NULL	188455	THYROGLOSSAL DUCT CYST, FAMILIAL		
Number Sign	188470	THYROID CANCER, NONMEDULLARY, 2; NMTC2		
Number Sign	188550	THYROID CANCER, NONMEDULLARY, 1; NMTC1	PAPILLARY CARCINOMA OF THYROID; PACT; PTC; TPC;; FAMILIAL NONMEDULLARY THYROID CANCER, PAPILLARY;; NONMEDULLARY THYROID CARCINOMA, PAPILLARY	
NULL	188560	THYROID HORMONE PLASMA MEMBRANE TRANSPORT DEFECT	HYPERTHYROXINEMIA, EUMETABOLIC, DUE TO T4 PLASMA MEMBRANE TRANSPORT;; DEFECT;; THYROID HORMONE RESISTANCE DUE TO T4 PLASMA MEMBRANE TRANSPORT DEFECT	
Number Sign	188570	THYROID HORMONE RESISTANCE, GENERALIZED, AUTOSOMAL DOMINANT; GRTH	GTHR;; THYROID HORMONE UNRESPONSIVENESS;; HYPERTHYROXINEMIA, FAMILIAL EUTHYROID, SECONDARY TO PITUITARY AND PERIPHERAL RESISTANCE TO THYROID HORMONES	
Number Sign	188580	THYROTOXIC PERIODIC PARALYSIS, SUSCEPTIBILITY TO, 1; TTPP1		
NULL	188700	BLOUNT DISEASE, INFANTILE	OSTEOCHONDROSIS DEFORMANS TIBIAE, INFANTILE;; TIBIA VARA, INFANTILE	
Number Sign	188740	TIBIA, HYPOPLASIA OR APLASIA OF, WITH POLYDACTYLY; THYP	TIBIAL HEMIMELIA-POLYDACTYLY-TRIPHALANGEAL THUMBS WITH FIBULAR DIMELIA	
Percent	188800	TIBIAL TORSION, BILATERAL MEDIAL		
NULL	188850	TL ANTIGEN	THYMUS LEUKEMIA ANTIGEN; TLA;; HISTOCOMPATIBILITY 2, T-REGION LOCUS 18; H2-T18	
Number Sign	188890	TOBACCO ADDICTION, SUSCEPTIBILITY TO	CIGARETTE HABITUATION, SUSCEPTIBILITY TO;; SMOKING HABIT, SUSCEPTIBILITY TO;; NICOTINE DEPENDENCE, SUSCEPTIBILITY TO;; NICOTINE ADDICTION, SUSCEPTIBILITY TO	
NULL	189000	TOE, FIFTH, NUMBER OF PHALANGES IN		
NULL	189100	TOE, MISSHAPEN		
NULL	189150	TOE, ROTATED FIFTH		
NULL	189200	TOES, RELATIVE LENGTH OF FIRST AND SECOND		
NULL	189230	TOES, SPACE BETWEEN FIRST AND SECOND		
NULL	189300	TONGUE CURLING, FOLDING, OR ROLLING		CLOVERLEAF TONGUE, INCLUDED;; TREFOIL TONGUE, INCLUDED
NULL	189490	MALPOSITION OF TEETH WITH OR WITHOUT HYPODONTIA/OLIGODONTIA	ECTOPIC ERUPTION OF TEETH	
Number Sign	189500	WITKOP SYNDROME	ECTODERMAL DYSPLASIA 3, WITKOP TYPE; ECTD3;; ECTODERMAL DYSPLASIA 3, TOOTH/NAIL TYPE;; NAIL DYSPLASIA WITH HYPODONTIA;; TOOTH-AND-NAIL SYNDROME; TNS	
NULL	189600	TORTICOLLIS		
Percent	189700	TORUS PALATINUS AND TORUS MANDIBULARIS		
Percent	189800	PREECLAMPSIA/ECLAMPSIA 1; PEE1	PREG1;; PEE;; TOXEMIA OF PREGNANCY	HYPERTENSION, PREGNANCY-INDUCED, INCLUDED;; HEMOLYSIS, ELEVATED LIVER ENZYMES, AND LOW PLATELET COUNT, INCLUDED; HELLP, INCLUDED
NULL	189960	TRACHEOESOPHAGEAL FISTULA WITH OR WITHOUT ESOPHAGEAL ATRESIA	ESOPHAGEAL ATRESIA WITH OR WITHOUT TRACHEOESOPHAGEAL FISTULA	
NULL	189961	TRACHEOPATHIA OSTEOPLASTICA	TRACHEOBRONCHOPATHIA OSTEOCHONDROPLASTICA	
Percent	190100	GENIOSPASM 1; GSM1	TREMBLING CHIN	
NULL	190200	TREMOR OF INTENTION, ATAXIA, AND LIPOFUSCINOSIS		
Number Sign	190300	TREMOR, HEREDITARY ESSENTIAL, 1; ETM1	TREMOR, FAMILIAL ESSENTIAL, 1; FET1	
Percent	190310	TREMOR, NYSTAGMUS, AND DUODENAL ULCER		
Number Sign	190320	TRICHODENTOOSSEOUS SYNDROME; TDO	TDO SYNDROME	
Number Sign	190330	TRICHOMEGALY; TCMGLY	EYELASHES, LONG	
Percent	190340	DISCOID FIBROMAS, FAMILIAL MULTIPLE; FMDF	TRICHODISCOMAS, FAMILIAL MULTIPLE	
NULL	190345	TRICHOEPITHELIOMAS, MULTIPLE DESMOPLASTIC		
Number Sign	190350	TRICHORHINOPHALANGEAL SYNDROME, TYPE I; TRPS1	TRPS I	
Number Sign	190351	TRICHORHINOPHALANGEAL SYNDROME, TYPE III; TRPS3	SUGIO-KAJII SYNDROME	
NULL	190360	TRICHODYSPLASIA-XERODERMA		
NULL	190400	TRIGEMINAL NEURALGIA	TIC DOULOUREUX	
NULL	190410	TRIGGER THUMB		
NULL	190420	TRIGLYCERIDE STORAGE DISEASE, TYPE I		
NULL	190430	TRIGLYCERIDE STORAGE DISEASE, TYPE II		
Number Sign	190440	TRIGONOCEPHALY 1; TRIGNO1	CRANIOSYNOSTOSIS, METOPIC	
NULL	190445	TRIIODOTHYRONINE RECEPTOR AUXILIARY PROTEIN; TRAP		
NULL	190500	TRIPHALANGEAL THUMB WITH DOUBLE PHALANGES		
Percent	190600	TRIPHALANGEAL THUMB, NONOPPOSABLE		
NULL	190650	TRIPHALANGEAL THUMBS AND DISLOCATION OF PATELLA		
Percent	190680	TRIPHALANGEAL THUMBS WITH BRACHYECTRODACTYLY		
Number Sign	190685	DOWN SYNDROME	TRISOMY 21	DOWN SYNDROME CHROMOSOME REGION, INCLUDED; DCR, INCLUDED;; DOWN SYNDROME CRITICAL REGION, INCLUDED; DSCR, INCLUDED;; TRANSIENT MYELOPROLIFERATIVE DISORDER OF DOWN SYNDROME, INCLUDED;; LEUKEMIA, MEGAKARYOBLASTIC, OF DOWN SYNDROME, INCLUDED
NULL	190800	TRISTICHIASIS	EYELASHES, THREE ROWS OF	
Number Sign	190900	TRITANOPIA	COLORBLINDNESS, TRITANOPIC;; BLUE COLORBLINDNESS;; COLORBLINDNESS, TRITAN; CBT	
NULL	191000	TROCHLEA OF THE HUMERUS, APLASIA OF		
Number Sign	191100	TUBEROUS SCLEROSIS 1; TSC1	TUBEROUS SCLEROSIS COMPLEX; TSC;; TUBEROSE SCLEROSIS; TS	
NULL	191150	TUFTSIN DEFICIENCY		
Percent	191181	SUPPRESSOR OF TUMORIGENICITY 3; ST3	TUMOR-SUPPRESSOR GENE, HELA CELL TYPE; TSHL;; CERVICAL CARCINOMA, TUMOR-SUPPRESSOR GENE INVOLVED IN; CCTS	
Percent	191200	TUNE DEAFNESS	DYSMELODIA;; AMUSIA, CONGENITAL;; TONE DEAFNESS	
NULL	191250	TWINNING DUE TO SUPERFETATION	SUPERFETATION TWINNING	
NULL	191270	TYROSINASE-LIKE; TYRL	TYROSINASE-RELATED SEGMENT	
Percent	191390	INFLAMMATORY BOWEL DISEASE 11; IBD11		
NULL	191400	ULNA AND FIBULA, HYPOPLASIA OF	MESOMELIC DWARFISM OF HYPOPLASTIC ULNA AND FIBULA TYPE;; REINHARDT-PFEIFFER MESOMELIC DYSPLASIA	
NULL	191420	ULNA METAPHYSEAL DYSPLASIA SYNDROME	METAPHYSEAL CHONDRODYSPLASIA, ROSENBERG TYPE	
Percent	191440	ULNAR HYPOPLASIA	UPPER LIMB MESOMELIC DYSPLASIA	
Number Sign	191480	UNCOMBABLE HAIR SYNDROME 1; UHS1	UNCOMBABLE HAIR SYNDROME; UHS;; PILI TRIANGULI ET CANALICULI	
NULL	191482	UNCOMBABLE HAIR, RETINAL PIGMENTARY DYSTROPHY, DENTAL ANOMALIES, AND BRACHYDACTYLY	BORK SYNDROME	
Percent	191500	UNDRITZ ANOMALY	HYPERSEGMENTATION OF NUCLEI OF POLYMORPHONUCLEAR LEUKOCYTES	
Percent	191520	UPINGTON DISEASE	PERTHES-LIKE HIP DISEASE, ENCHONDROMATA, AND ECCHONDROMATA	
Percent	191530	URATE-BINDING GLOBULIN, DECREASE IN		
NULL	191540	URATE OXIDASE, PSEUDOGENE; UOX	URICASE	
Percent	191550	URETER, BIFID OR DOUBLE		
NULL	191600	URETER, CANCER OF		
NULL	191650	URETEROCELE		
NULL	191700	UROLITHIASIS, URIC ACID, AUTOSOMAL DOMINANT	NEPHROLITHIASIS, URIC ACID, AUTOSOMAL DOMINANT	
NULL	191800	URINARY BLADDER, ATONY OF		
Number Sign	191830	RENAL HYPODYSPLASIA/APLASIA 1; RHDA1	RENAL ADYSPLASIA;; RENAL AGENESIS;; RENAL APLASIA;; HEREDITARY RENAL APLASIA; HRA	
NULL	191850	URTICARIA, AQUAGENIC		
Number Sign	191900	MUCKLE-WELLS SYNDROME; MWS	URTICARIA-DEAFNESS-AMYLOIDOSIS SYNDROME;; UDA SYNDROME;; CRYOPYRIN-ASSOCIATED PERIODIC SYNDROME 2; CAPS2	
NULL	191950	URTICARIA, FAMILIAL LOCALIZED HEAT		
NULL	192000	UTERINE ANOMALIES		
NULL	192050	UTERUS BICORNIS BICOLLIS WITH PARTIAL VAGINAL SEPTUM AND UNILATERAL HEMATOCOLPOS WITH IPSILATERAL RENAL AGENESIS		
NULL	192100	UVULA, BIFID	UVULA, CLEFT	
NULL	192200	VARICOSE VEINS		
NULL	192300	VASCULAR HELIX OF UMBILICAL CORD		
NULL	192310	VASCULITIS, LYMPHOCYTIC, NODULAR		
Number Sign	192315	VASCULOPATHY, RETINAL, WITH CEREBRAL LEUKODYSTROPHY; RVCL	CEREBRORETINAL VASCULOPATHY, HEREDITARY; CRV;; RETINOPATHY, VASCULAR, WITH CEREBRAL AND RENAL INVOLVEMENT AND RAYNAUD AND MIGRAINE PHENOMENA	
Percent	192350	VATER/VACTERL ASSOCIATION		
NULL	192400	VEINS, PATTERN OF, ON ANTERIOR THORAX		
Number Sign	192430	VELOCARDIOFACIAL SYNDROME	CHROMOSOME 22q11.2 DELETION SYNDROME;; VCF SYNDROME; VCFS;; SHPRINTZEN VCF SYNDROME	
NULL	192445	VENTRICULAR EXTRASYSTOLES WITH SYNCOPE, PERODACTYLY, AND ROBIN SEQUENCE		
Number Sign	192500	LONG QT SYNDROME 1; LQT1	WARD-ROMANO SYNDROME; WRS;; ROMANO-WARD SYNDROME; RWS;; VENTRICULAR FIBRILLATION WITH PROLONGED QT INTERVAL	LONG QT SYNDROME 1/2, DIGENIC, INCLUDED; LQT1/2, DIGENIC, INCLUDED;; LONG QT SYNDROME 1, ACQUIRED, SUSCEPTIBILITY TO, INCLUDED
Number Sign	192600	CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 1; CMH1	CMH;; VENTRICULAR HYPERTROPHY, HEREDITARY;; ASYMMETRIC SEPTAL HYPERTROPHY; ASH;; HYPERTROPHIC SUBAORTIC STENOSIS, IDIOPATHIC	
Number Sign	192605	VENTRICULAR TACHYCARDIA, FAMILIAL	VENTRICULAR TACHYCARDIA, FAMILIAL POLYMORPHIC	
NULL	192700	VENULAR INSUFFICIENCY, SYSTEMIC		
NULL	192800	VERTEBRAL FUSION, POSTERIOR LUMBOSACRAL, WITH BLEPHAROPTOSIS		
Percent	192900	VERTEBRAL HYPOPLASIA WITH LUMBAR KYPHOSIS		
Number Sign	192950	VERTICAL TALUS, CONGENITAL; CVT	ROCKER-BOTTOM FOOT;; PES VALGUS, CONGENITAL CONVEX	
Percent	193000	VESICOURETERAL REFLUX 1; VUR1	VUR	
Percent	193003	NYSTAGMUS 4, CONGENITAL, AUTOSOMAL DOMINANT; NYS4	VESTIBULOCEREBELLAR DISORDER WITH PREDOMINANT OCULAR SIGNS	
NULL	193005	VESTIBULOCOCHLEAR DYSFUNCTION, PROGRESSIVE		
Percent	193007	VERTIGO, BENIGN RECURRENT; BRV	VERTIGO, BENIGN PAROXYSMAL POSITIONAL; BPPV;; VESTIBULOPATHY, FAMILIAL	VERTIGO, BENIGN RECURRENT, 1, INCLUDED; BRV1, INCLUDED
NULL	193070	VIRUS RD114 RNA COMPLEMENTARITY		
Percent	193090	TRANSCOBALAMIN I DEFICIENCY	TCN1 DEFICIENCY;; COBALAMIN PSEUDODEFICIENCY DUE TO TRANSCOBALAMIN DEFICIENCY;; COBALAMIN R BINDER PROTEIN DEFICIENCY	TRANSCOBALAMIN I DEFICIENCY WITH LACTOFERRIN DEFICIENCY, INCLUDED;; R BINDER DEFICIENCY WITH LACTOFERRIN DEFICIENCY, INCLUDED
Number Sign	193100	HYPOPHOSPHATEMIC RICKETS, AUTOSOMAL DOMINANT; ADHR	VITAMIN D-RESISTANT RICKETS, AUTOSOMAL DOMINANT;; HYPOPHOSPHATEMIA, AUTOSOMAL DOMINANT	
Percent	193200	VITILIGO-ASSOCIATED MULTIPLE AUTOIMMUNE DISEASE SUSCEPTIBILITY 6; VAMAS6		
Number Sign	193220	VITREORETINOCHOROIDOPATHY; VRCP	VITREORETINOCHOROIDOPATHY, AUTOSOMAL DOMINANT; ADVIRC;; VITREORETINOCHOROIDOPATHY WITH MICROCORNEA, GLAUCOMA, AND CATARACT;; VITREORETINOCHOROIDOPATHY, AUTOSOMAL DOMINANT, WITH NANOPHTHALMOS	MICROCORNEA, ROD-CONE DYSTROPHY, CATARACT, AND POSTERIOR STAPHYLOMA, INCLUDED; MRCS, INCLUDED
Number Sign	193230	VITREORETINAL DEGENERATION, SNOWFLAKE TYPE; SVD	SNOWFLAKE VITREORETINAL DEGENERATION	
Number Sign	193235	VITREORETINOPATHY, NEOVASCULAR INFLAMMATORY; VRNI	PROLIFERATIVE VITREORETINOPATHY; PVR;; VITREORETINOPATHY, NEOVASCULAR INFLAMMATORY, AUTOSOMAL DOMINANT; ADNIV	
NULL	193240	VOCAL CORD PARALYSIS AND PTOSIS		
Percent	193250	VOLVULUS OF MIDGUT	INTESTINAL MALROTATION, FAMILIAL	
Number Sign	193300	VON HIPPEL-LINDAU SYNDROME; VHL		VON HIPPEL-LINDAU SYNDROME, MODIFIERS OF, INCLUDED
Number Sign	193400	VON WILLEBRAND DISEASE, TYPE 1; VWD1	VON WILLEBRAND DISEASE, TYPE I;; VWD, TYPE 1	
NULL	193450	VULVOVAGINITIS, ALLERGIC SEMINAL		
Number Sign	193500	WAARDENBURG SYNDROME, TYPE 1; WS1	WAARDENBURG SYNDROME WITH DYSTOPIA CANTHORUM	
Number Sign	193510	WAARDENBURG SYNDROME, TYPE 2A; WS2A	WAARDENBURG SYNDROME, TYPE IIA;; WAARDENBURG SYNDROME WITHOUT DYSTOPIA CANTHORUM;; WS2	
Number Sign	193520	WATSON SYNDROME; WTSN	PULMONIC STENOSIS WITH CAFE-AU-LAIT SPOTS;; CAFE-AU-LAIT SPOTS WITH PULMONIC STENOSIS	
Number Sign	193530	WEYERS ACROFACIAL DYSOSTOSIS; WAD	ACRODENTAL DYSOSTOSIS OF WEYERS;; CURRY-HALL SYNDROME	
Number Sign	193670	WHIM SYNDROME; WHIMS	WARTS, HYPOGAMMAGLOBULINEMIA, INFECTIONS, AND MYELOKATHEXIS SYNDROME	
Number Sign	193700	ARTHROGRYPOSIS, DISTAL, TYPE 2A; DA2A	FREEMAN-SHELDON SYNDROME; FSS;; WHISTLING FACE-WINDMILL VANE HAND SYNDROME;; CRANIOCARPOTARSAL DYSTROPHY;; CRANIOCARPOTARSAL DYSPLASIA	
Number Sign	193900	WHITE SPONGE NEVUS 1; WSN1	WHITE SPONGE NEVUS OF CANNON;; LEUKOKERATOSIS, HEREDITARY MUCOSAL	
NULL	194000	WIDOW'S PEAK		
Number Sign	194050	WILLIAMS-BEUREN SYNDROME; WBS	CHROMOSOME 7q11.23 DELETION SYNDROME, 1.5- TO 1.8-MB;; WILLIAMS SYNDROME; WMS; WS	
Number Sign	194070	WILMS TUMOR 1; WT1	NEPHROBLASTOMA	
Number Sign	194071	WILMS TUMOR 2; WT2		
Number Sign	194072	WILMS TUMOR, ANIRIDIA, GENITOURINARY ANOMALIES, AND MENTAL RETARDATION SYNDROME; WAGR	WAGR SYNDROME;; CHROMOSOME 11p13 DELETION SYNDROME	
Number Sign	194080	DENYS-DRASH SYNDROME; DDS	DRASH SYNDROME;; WILMS TUMOR AND PSEUDO- OR TRUE HERMAPHRODITISM;; NEPHROPATHY, WILMS TUMOR, AND GENITAL ANOMALIES	
Percent	194090	WILMS TUMOR 3; WT3		
Number Sign	194190	WOLF-HIRSCHHORN SYNDROME; WHS	CHROMOSOME 4p16.3 DELETION SYNDROME;; PITT-ROGERS-DANKS SYNDROME; PRDS;; PITT SYNDROME;; WITTWER SYNDROME	
Number Sign	194200	WOLFF-PARKINSON-WHITE SYNDROME	WPW SYNDROME	PREEXCITATION SYNDROME, INCLUDED;; ACCESSORY ATRIOVENTRICULAR PATHWAYS, INCLUDED
Number Sign	194300	WOOLLY HAIR, AUTOSOMAL DOMINANT; ADWH		
NULL	194320	WORONETS TRAIT		
Percent	194350	WT LIMB-BLOOD SYNDROME		
NULL	194370	X-RAY SENSITIVITY; XRS		
Number Sign	194380	DEHYDRATED HEREDITARY STOMATOCYTOSIS 1 WITH OR WITHOUT PSEUDOHYPERKALEMIA AND/OR PERINATAL EDEMA; DHS1	DEHYDRATED HEREDITARY STOMATOCYTOSIS; DHS;; XEROCYTOSIS, HEREDITARY;; DESICCYTOSIS, HEREDITARY;; PSEUDOHYPERKALEMIA, FAMILIAL, 1, DUE TO RED CELL LEAK; PSHK1;; PSEUDOHYPERKALEMIA EDINBURGH	
NULL	194400	XERODERMA PIGMENTOSUM, AUTOSOMAL DOMINANT, MILD		
Percent	194470	ZINC, ELEVATED PLASMA	ALBUMIN BINDING OF ZINC, ELEVATED;; HYPERZINCEMIA, FAMILIAL DYSALBUMINEMIC	HYPERZINCEMIA AND HYPERCALPROTECTINEMIA, INCLUDED
Number Sign	200100	ABETALIPOPROTEINEMIA; ABL	ACANTHOCYTOSIS;; BASSEN-KORNZWEIG SYNDROME;; MICROSOMAL TRIGLYCERIDE TRANSFER PROTEIN DEFICIENCY;; MTP DEFICIENCY	
Number Sign	200110	ABLEPHARON-MACROSTOMIA SYNDROME; AMS		
NULL	200130	ABSENT EYEBROWS AND EYELASHES WITH MENTAL RETARDATION	PSEUDOPROGERIA SYNDROME	
Number Sign	200150	CHOREOACANTHOCYTOSIS; CHAC	LEVINE-CRITCHLEY SYNDROME;; ACANTHOCYTOSIS WITH NEUROLOGIC DISORDER;; NEUROACANTHOCYTOSIS;; CHOREA-ACANTHOCYTOSIS	
NULL	200170	ACANTHOSIS NIGRICANS WITH MUSCLE CRAMPS AND ACRAL ENLARGEMENT		
NULL	200300	ACETOPHENETIDIN SENSITIVITY		
Percent	200400	ACHALASIA, FAMILIAL ESOPHAGEAL		
NULL	200450	ACHALASIA-MICROCEPHALY SYNDROME		
